"zone","DemandTWh"
"p1",47.8927551428571
"p10",137.730066571429
"p100",3.39555942857143
"p101",160.245476714286
"p102",91.1167252857143
"p103",90.8053035714286
"p104",9.02287742857143
"p105",60.3086882857143
"p106",16.0800984285714
"p107",25.5276554285714
"p108",8.430227
"p109",49.3508558571429
"p11",19.0049574285714
"p110",5.46773057142857
"p111",50.0068141428571
"p112",64.4147057142857
"p113",14.4178844285714
"p114",23.3140015714286
"p115",30.2180792857143
"p116",18.1783531428571
"p117",15.0906205714286
"p118",23.5835305714286
"p119",3.62125585714286
"p12",13.859406
"p120",2.12469842857143
"p121",6.28646142857143
"p122",111.280657571429
"p123",65.4123414285714
"p124",0.650314714285714
"p125",11.874005
"p126",77.742313
"p127",127.016722571429
"p128",20.6665385714286
"p129",5.74587857142857
"p13",28.1576332857143
"p130",11.1892001428571
"p131",54.0858368571429
"p132",28.9774317142857
"p133",8.13555242857143
"p134",12.2105514285714
"p14",4.521673
"p15",16.134191
"p16",5.91606542857143
"p17",8.20843342857143
"p18",4.45263242857143
"p19",0.109586142857143
"p2",26.9268011428571
"p20",2.29451328571429
"p21",7.84562385714286
"p22",1.38792814285714
"p23",1.03996128571429
"p24",6.44437685714286
"p25",32.9569512857143
"p26",1.45784028571429
"p27",10.4235481428571
"p28",64.401228
"p29",1.09319042857143
"p3",12.2937901428571
"p30",12.8107718571429
"p31",20.0885098571429
"p32",1.76495085714286
"p33",43.7958084285714
"p34",15.8765174285714
"p35",0.698801428571429
"p36",6.858135
"p37",18.6895607142857
"p38",11.8190601428571
"p39",2.14012828571429
"p4",4.873699
"p40",12.2588672857143
"p41",19.2354568571429
"p42",4.186252
"p43",58.191675
"p44",1.749964
"p45",13.3598707142857
"p46",8.71138957142857
"p47",8.33637428571429
"p48",27.7243535714286
"p49",0.856741
"p5",40.8349195714286
"p50",44.5770835714286
"p51",24.8953854285714
"p52",1.71857285714286
"p53",40.8352372857143
"p54",22.1760392857143
"p55",10.5066281428571
"p56",14.5593922857143
"p57",8.99073271428571
"p58",74.1471457142857
"p59",7.74771685714286
"p6",12.0627394285714
"p60",4.41820071428571
"p61",9.81319985714286
"p62",8.43242228571428
"p63",152.288244142857
"p64",45.5099064285714
"p65",68.8625077142857
"p66",27.3726621428571
"p67",100.520763571429
"p68",3.38688857142857
"p69",5.76599142857143
"p7",1.59847142857143
"p70",36.3575202857143
"p71",1.85137914285714
"p72",40.1322164285714
"p73",2.62342771428571
"p74",2.02424985714286
"p75",10.797021
"p76",11.7842257142857
"p77",3.03116014285714
"p78",7.72010171428571
"p79",29.0945297142857
"p8",1.47371385714286
"p80",92.2621627142857
"p81",23.7639808571429
"p82",8.55373371428571
"p83",14.0708524285714
"p84",4.27084171428571
"p85",35.738905
"p86",23.5461422857143
"p87",38.4124797142857
"p88",12.0506744285714
"p89",46.4351225714286
"p9",121.931791571429
"p90",42.60855
"p91",14.1706898571429
"p92",104.043585428571
"p93",13.1741578571429
"p94",145.192920714286
"p95",28.4393962857143
"p96",56.6632304285714
"p97",73.6394685714286
"p98",68.8162445714286
"p99",103.812203571429
