load_zone,avg_growth,peak_growth
p1,0.010826516787141152,0.015115475380470547
p10,0.024173419475592737,0.020498143209085305
p100,0.026961174424046858,0.022661213379777195
p101,0.017799969901440553,0.016053762239386052
p102,0.016617361505513642,0.016125002255727227
p103,0.017252262286283765,0.008600751582425112
p104,0.03433197430914474,0.03206398808133849
p105,0.029942932211779762,0.026376232649916617
p106,0.02656063914982217,0.021950206167055
p107,0.026499200925732935,0.02185329168193394
p108,0.021344963669060187,0.01832861926516331
p109,0.005119174157075255,0.005644963981830892
p11,0.02365977286716794,0.019770431253977507
p110,0.030216759112823496,0.028794156402294338
p111,0.026382099136694023,0.021586923436382726
p112,0.033925950794510024,0.032295073648980564
p113,0.014876837345102215,0.011456648241883804
p114,0.010713571984367546,0.0077848817189550105
p115,0.02415590135938092,0.019833427886644057
p116,0.027233140219958887,0.022738152199661712
p117,0.038188179374015314,0.037362026313233564
p118,0.036267371918457705,0.03636201599186773
p119,0.023332973243167302,0.021215383832005975
p12,0.02707700836850053,0.03175473210943563
p120,0.019099164092951433,0.01694344815931953
p121,0.025045334587903915,0.020757852184669714
p122,0.015962862482229587,0.017982703758441534
p123,0.009386008388356133,0.009064336911111488
p124,0.004861968316937471,0.007683360566883557
p125,0.004863875198117888,0.007651753221350591
p126,0.01388927876741594,0.009971876402295361
p127,0.017285936869214674,0.010753972267555633
p128,0.006952813579539487,0.006288810655895385
p129,0.02266423858949533,0.03205789792943906
p13,0.022465359984978422,0.0159888957917855
p130,0.022710871214027047,0.014360282886752541
p131,0.022481135083915343,0.024215415950931303
p132,0.011687720573712,0.009019129166494192
p133,0.021539339486287546,0.014949475366632213
p134,0.02644102898950006,0.040376698584839596
p14,0.008721121362098211,0.008894596035870736
p15,0.018046069980100728,0.017086451087165732
p16,0.02263377759762565,0.021692023486687483
p17,0.008729145693216983,0.008931488918608179
p18,0.007387122036354915,0.009345387970138582
p19,-0.0007667365975041674,0.0026837162835344043
p2,0.008867301802689364,0.008118380438555041
p20,0.00999936213785045,0.01147972279876796
p21,-0.0006912029854493441,0.002745428246606093
p22,-0.00045887299921767934,0.002935243928969788
p23,-0.0004889469724737135,0.0029106728037446273
p24,-0.0007667366325352203,0.002683716632186172
p25,-0.0005850646483209177,0.00282788790551792
