ba,emm,abbr,name,load_share_of_ba,county_share_of_ba,share_of_emm_load,ba_load_mwh,emm_load_mwh,states,transreg,nercr,split
p52,18,SPPC,SPP/Central,1.0,1.0,0.021322,1584293,74301613,KS,SPP,SPP,False
p53,18,SPPC,SPP/Central,1.0,1.0,0.532004,39528780,74301613,KS,SPP,SPP,False
p54,18,SPPC,SPP/Central,1.0,1.0,0.27889,20722010,74301613,MO,SPP,SPP,False
p55,18,SPPC,SPP/Central,1.0,1.0,0.167783,12466529,74301613,MO,SPP,SPP,False
p56,17,SPPS,SPP/South,1.0,1.0,0.1493,15931485,106707640,AR,SPP,SPP,False
p57,17,SPPS,SPP/South,1.0,1.0,0.078025,8325851,106707640,TX,SPP,SPP,False
p58,6,MISS,MISO/South,1.0,1.0,0.494425,105628807,213639562,LA,MISO,MISO,False
p59,20,SRSG,WECC/Southwest,1.0,1.0,0.109138,12832634,117581558,TX,WestConnect,WECC_SW,False
p60,1,TRE,TRE (Texas),1.0,1.0,0.00799,3284200,411044288,TX,ERCOT,ERCOT,False
p61,1,TRE,TRE (Texas),1.0,1.0,0.01533,6301145,411044288,TX,ERCOT,ERCOT,False
p62,1,TRE,TRE (Texas),1.0,1.0,0.014542,5977610,411044288,TX,ERCOT,ERCOT,False
p63,1,TRE,TRE (Texas),1.0,1.0,0.369127,151727633,411044288,TX,ERCOT,ERCOT,False
p64,1,TRE,TRE (Texas),1.0,1.0,0.126942,52178947,411044288,TX,ERCOT,ERCOT,False
p65,1,TRE,TRE (Texas),1.0,1.0,0.190504,78305729,411044288,TX,ERCOT,ERCOT,False
p66,6,MISS,MISO/South,1.0,1.0,0.132263,28256621,213639562,TX,MISO,MISO,False
p67,1,TRE,TRE (Texas),1.0,1.0,0.275564,113269024,411044288,TX,ERCOT,ERCOT,False
p68,3,MISW,MISO/West,1.0,1.0,0.018263,3854464,211056250,MN,MISO,MISO,False
p69,3,MISW,MISO/West,1.0,1.0,0.024911,5257646,211056250,IA,MISO,MISO,False
p70,3,MISW,MISO/West,1.0,1.0,0.176941,37344543,211056250,IA,MISO,MISO,False
p71,4,MISC,MISO/Central,1.0,1.0,0.008014,1581188,197311052,MO,MISO,MISO,False
p72,4,MISC,MISO/Central,1.0,1.0,0.187489,36993672,197311052,MO,MISO,MISO,False
p73,4,MISC,MISO/Central,1.0,1.0,0.012005,2368675,197311052,MO,MISO,MISO,False
p74,3,MISW,MISO/West,1.0,1.0,0.015522,3275915,211056250,MI,MISO,MISO,False
p75,3,MISW,MISO/West,1.0,1.0,0.047468,10018432,211056250,WI,MISO,MISO,False
p76,3,MISW,MISO/West,1.0,1.0,0.057316,12096940,211056250,WI,MISO,MISO,False
p77,3,MISW,MISO/West,1.0,1.0,0.016325,3445496,211056250,WI,MISO,MISO,False
p78,3,MISW,MISO/West,1.0,1.0,0.042597,8990399,211056250,WI,MISO,MISO,False
p79,3,MISW,MISO/West,1.0,1.0,0.126898,26782672,211056250,WI,MISO,MISO,False
p80,12,PJMC,PJM/ComEd,1.0,1.0,1.0,102723126,102723126,IL,PJM,PJM,False
p81,4,MISC,MISO/Central,1.0,1.0,0.099698,19671582,197311052,IL,MISO,MISO,False
p82,4,MISC,MISO/Central,1.0,1.0,0.032652,6442535,197311052,IL,MISO,MISO,False
p83,4,MISC,MISO/Central,1.0,1.0,0.061668,12167713,197311052,IL,MISO,MISO,False
p84,4,MISC,MISO/Central,1.0,1.0,0.024418,4817992,197311052,MO,MISO,MISO,False
p85,6,MISS,MISO/South,1.0,1.0,0.155291,33176242,213639562,AR,MISO,MISO,False
p86,6,MISS,MISO/South,1.0,1.0,0.034631,7398576,213639562,LA,MISO,MISO,False
p87,6,MISS,MISO/South,1.0,1.0,0.18339,39179316,213639562,MS,MISO,MISO,False
p88,16,SRCE,SERC/Central,1.0,1.0,0.075188,11154578,148355910,MS,SERTP,SERC_C,False
p89,16,SRCE,SERC/Central,0.5242,0.75,0.160033,45290982,148355910,AL,SERTP,SERC_SE,True
p89,15,SRSE,SERC/Southeast,0.4758,0.25,0.09554,45290982,225550249,AL,SERTP,SERC_SE,True
p90,15,SRSE,SERC/Southeast,1.0,1.0,0.206203,46509067,225550249,AL,SERTP,SERC_SE,False
p91,15,SRSE,SERC/Southeast,1.0,1.0,0.059765,13479996,225550249,FL,SERTP,SERC_SE,False
p92,16,SRCE,SERC/Central,1.0,1.0,0.688383,102125722,148355910,TN,SERTP,SERC_C,False
p93,16,SRCE,SERC/Central,1.0,1.0,0.076395,11333713,148355910,KY,SERTP,SERC_C,False
p94,15,SRSE,SERC/Southeast,1.0,1.0,0.638492,144012100,225550249,GA,SERTP,SERC_SE,False
p95,14,SRCA,SERC/Carolinas,1.0,1.0,0.136021,29903541,219844523,SC,SERTP,SERC_E,False
p96,14,SRCA,SERC/Carolinas,1.0,1.0,0.23972,52701160,219844523,SC,SERTP,SERC_E,False
p97,14,SRCA,SERC/Carolinas,1.0,1.0,0.311168,68408569,219844523,NC,SERTP,SERC_E,False
p98,14,SRCA,SERC/Carolinas,1.0,1.0,0.313091,68831253,219844523,NC,SERTP,SERC_E,False
p99,13,PJMD,PJM/Dominion,1.0,1.0,0.967546,103096028,106554162,VA,PJM,PJM,False
p100,13,PJMD,PJM/Dominion,1.0,1.0,0.032454,3458134,106554162,VA,PJM,PJM,False
p101,2,FRCC,FRCC (Florida),1.0,1.0,0.644593,150745179,233860911,FL,FRCC,SERC_F,False
p102,2,FRCC,FRCC (Florida),1.0,1.0,0.355407,83115732,233860911,FL,FRCC,SERC_F,False
p103,5,MISE,MISO/East,1.0,1.0,1.0,94011314,94011314,MI,MISO,MISO,False
p104,11,PJMW,PJM/West,1.0,1.0,0.020818,6175875,296660005,MI,PJM,PJM,False
p105,4,MISC,MISO/Central,1.0,1.0,0.28924,57070155,197311052,IN,MISO,MISO,False
p106,4,MISC,MISO/Central,1.0,1.0,0.098671,19468893,197311052,IN,MISO,MISO,False
p107,4,MISC,MISO/Central,1.0,1.0,0.154283,30441720,197311052,IN,MISO,MISO,False
p108,4,MISC,MISO/Central,1.0,1.0,0.031863,6286928,197311052,KY,MISO,MISO,False
p109,11,PJMW,PJM/West,1.0,1.0,0.175749,52137616,296660005,KY,PJM,PJM,False
p110,11,PJMW,PJM/West,1.0,1.0,0.015696,4656418,296660005,KY,PJM,PJM,False
p111,11,PJMW,PJM/West,1.0,1.0,0.194975,57841298,296660005,OH,PJM,PJM,False
p112,11,PJMW,PJM/West,1.0,1.0,0.188818,56014690,296660005,OH,PJM,PJM,False
p113,11,PJMW,PJM/West,1.0,1.0,0.046934,13923296,296660005,OH,PJM,PJM,False
p114,11,PJMW,PJM/West,1.0,1.0,0.073069,21676526,296660005,OH,PJM,PJM,False
p115,11,PJMW,PJM/West,1.0,1.0,0.091893,27260924,296660005,PA,PJM,PJM,False
p116,11,PJMW,PJM/West,1.0,1.0,0.068782,20404824,296660005,WV,PJM,PJM,False
p117,11,PJMW,PJM/West,1.0,1.0,0.043228,12823916,296660005,WV,PJM,PJM,False
p118,11,PJMW,PJM/West,1.0,1.0,0.055947,16597117,296660005,VA,PJM,PJM,False
p119,10,PJME,PJM/East,1.0,1.0,0.011135,3080783,276674270,PA,PJM,PJM,False
p120,11,PJMW,PJM/West,1.0,1.0,0.006419,1904309,296660005,PA,PJM,PJM,False
p121,11,PJMW,PJM/West,1.0,1.0,0.017674,5243195,296660005,MD,PJM,PJM,False
p122,10,PJME,PJM/East,1.0,1.0,0.42485,117545146,276674270,PA,PJM,PJM,False
p123,10,PJME,PJM/East,1.0,1.0,0.239737,66329024,276674270,MD,PJM,PJM,False
p124,10,PJME,PJM/East,1.0,1.0,0.002344,648500,276674270,VA,PJM,PJM,False
p125,10,PJME,PJM/East,1.0,1.0,0.044107,12203144,276674270,DE,PJM,PJM,False
p126,10,PJME,PJM/East,1.0,1.0,0.277827,76867674,276674270,NJ,PJM,PJM,False
p127,9,NYUP,NPCC/Upstate NY,1.0,1.0,1.0,126073781,126073781,NY,NYISO,NPCC_NY,False
p128,8,NYCW,NPCC/NYC & LI,1.0,1.0,1.0,21882787,21882787,NY,NYISO,NPCC_NY,False
p129,7,ISNE,NPCC/New England,1.0,1.0,0.045937,5574646,121353528,VT,ISONE,NPCC_NE,False
p130,7,ISNE,NPCC/New England,1.0,1.0,0.090986,11041421,121353528,NH,ISONE,NPCC_NE,False
p131,7,ISNE,NPCC/New England,1.0,1.0,0.445327,54041964,121353528,MA,ISONE,NPCC_NE,False
p132,7,ISNE,NPCC/New England,1.0,1.0,0.241004,29246729,121353528,CT,ISONE,NPCC_NE,False
p133,7,ISNE,NPCC/New England,1.0,1.0,0.064928,7879270,121353528,RI,ISONE,NPCC_NE,False
p134,7,ISNE,NPCC/New England,1.0,1.0,0.111818,13569499,121353528,ME,ISONE,NPCC_NE,False
