Scenario,State,Year,Nominal Capacity (GW),Peak Load (GW),Annual Energy (TWh)
High,NC,2027,1.71,0.974,8.21
High,NC,2028,1.98,1.23,10.4
High,NC,2029,2.26,1.47,12.4
High,NC,2030,2.53,1.69,14.2
High,ND,2024,0.677,0.236,1.98
High,ND,2025,0.7,0.334,2.81
High,ND,2026,0.724,0.436,3.67
High,ND,2027,0.747,0.542,4.56
High,ND,2028,0.77,0.597,5.02
High,ND,2029,0.794,0.616,5.18
High,ND,2030,0.817,0.635,5.34
High,NE,2024,1.08,0.579,4.89
High,NE,2025,1.16,0.741,6.25
High,NE,2026,1.23,0.919,7.74
High,NE,2027,1.31,1.11,9.35
High,NE,2028,1.39,1.23,10.3
High,NE,2029,1.47,1.3,10.9
High,NE,2030,1.54,1.37,11.5
High,NH,2024,0.004,0.002,0.02
High,NH,2025,0.004,0.003,0.023
High,NH,2026,0.004,0.003,0.027
High,NH,2027,0.004,0.004,0.03
High,NH,2028,0.004,0.004,0.033
High,NH,2029,0.004,0.004,0.033
High,NH,2030,0.004,0.004,0.033
High,NJ,2024,0.605,0.502,4.26
High,NJ,2025,0.703,0.567,4.8
High,NJ,2026,0.8,0.652,5.53
High,NJ,2027,0.898,0.757,6.42
High,NJ,2028,0.995,0.847,7.18
High,NJ,2029,1.09,0.945,8.01
High,NJ,2030,1.19,1.03,8.77
High,NM,2024,0.434,0.125,1.05
High,NM,2025,0.549,0.226,1.9
High,NM,2026,0.664,0.346,2.91
High,NM,2027,0.778,0.486,4.09
High,NM,2028,0.893,0.644,5.43
High,NM,2029,1.01,0.742,6.26
High,NM,2030,1.12,0.836,7.05
High,NV,2024,1.06,0.616,5.22
High,NV,2025,1.53,0.8,6.76
High,NV,2026,2.01,1.06,9.0
High,NV,2027,2.49,1.41,11.9
High,NV,2028,2.97,1.83,15.5
High,NV,2029,3.44,2.24,18.9
High,NV,2030,3.92,2.63,22.3
High,NY,2024,1.21,0.537,4.52
High,NY,2025,1.3,0.738,6.22
High,NY,2026,1.4,0.959,8.08
High,NY,2027,1.49,1.2,10.1
High,NY,2028,1.59,1.4,11.8
High,NY,2029,1.69,1.49,12.5
High,NY,2030,1.78,1.58,13.3
High,OH,2024,2.22,0.833,7.0
High,OH,2025,2.98,1.29,10.8
High,OH,2026,3.74,1.88,15.8
High,OH,2027,4.5,2.6,21.9
High,OH,2028,5.25,3.32,27.9
High,OH,2029,6.01,3.97,33.4
High,OH,2030,6.77,4.62,38.8
High,OK,2024,0.82,0.246,2.07
High,OK,2025,0.875,0.38,3.2
High,OK,2026,0.93,0.524,4.41
High,OK,2027,0.986,0.677,5.7
High,OK,2028,1.04,0.836,7.03
High,OK,2029,1.1,0.884,7.44
High,OK,2030,1.15,0.931,7.84
High,OR,2024,3.66,1.44,12.1
High,OR,2025,3.81,2.04,17.2
High,OR,2026,3.95,2.66,22.4
High,OR,2027,4.09,3.3,27.8
High,OR,2028,4.24,3.81,32.0
High,OR,2029,4.38,3.93,33.1
High,OR,2030,4.52,4.04,34.0
High,PA,2024,0.722,0.341,2.86
High,PA,2025,1.43,0.567,4.76
High,PA,2026,2.14,0.936,7.86
High,PA,2027,2.85,1.44,12.1
High,PA,2028,3.56,2.03,17.1
High,PA,2029,4.27,2.71,22.8
High,PA,2030,4.98,3.38,28.4
High,RI,2024,0.003,0.002,0.018
High,RI,2025,0.003,0.002,0.02
High,RI,2026,0.003,0.003,0.021
High,RI,2027,0.003,0.003,0.023
High,RI,2028,0.003,0.003,0.024
High,RI,2029,0.003,0.003,0.024
High,RI,2030,0.003,0.003,0.024
High,SC,2024,0.573,0.216,1.81
High,SC,2025,0.827,0.332,2.79
High,SC,2026,1.08,0.492,4.14
High,SC,2027,1.33,0.697,5.87
High,SC,2028,1.59,0.929,7.82
High,SC,2029,1.84,1.14,9.64
High,SC,2030,2.1,1.36,11.5
High,SD,2024,0.038,0.015,0.126
High,SD,2025,0.038,0.021,0.176
High,SD,2026,0.038,0.027,0.225
High,SD,2027,0.038,0.032,0.274
High,SD,2028,0.038,0.038,0.323
High,SD,2029,0.038,0.038,0.323
High,SD,2030,0.038,0.038,0.323
High,TN,2024,0.866,0.254,2.13
High,TN,2025,0.976,0.412,3.46
High,TN,2026,1.09,0.592,4.97
High,TN,2027,1.2,0.793,6.66
High,TN,2028,1.31,0.979,8.23
High,TN,2029,1.42,1.08,9.09
High,TN,2030,1.53,1.18,9.94
High,TX,2024,8.08,3.8,34.8
High,TX,2025,10.2,5.32,46.8
High,TX,2026,12.3,7.23,62.2
High,TX,2027,14.5,9.54,80.9
High,TX,2028,16.6,11.7,99.0
High,TX,2029,18.7,13.6,115.0
High,TX,2030,20.9,15.5,131.0
High,US,2024,44.5,22.4,192.0
High,US,2025,59.1,30.4,258.0
High,US,2026,73.8,41.1,348.0
High,US,2027,88.5,54.4,459.0
High,US,2028,103.0,68.5,578.0
High,US,2029,118.0,81.5,687.0
High,US,2030,132.0,94.0,794.0
High,UT,2024,0.619,0.412,3.47
High,UT,2025,0.725,0.474,3.99
High,UT,2026,0.831,0.552,4.66
High,UT,2027,0.937,0.647,5.46
High,UT,2028,1.04,0.758,6.4
High,UT,2029,1.15,0.84,7.09
High,UT,2030,1.25,0.921,7.78
High,VA,2024,6.82,4.1,34.6
High,VA,2025,10.5,5.42,45.7
High,VA,2026,14.2,7.41,62.5
High,VA,2027,17.9,10.0,84.8
High,VA,2028,21.6,13.0,110.0
High,VA,2029,25.3,16.3,137.0
High,VA,2030,28.9,19.4,164.0
High,VT,2024,0.002,0.0,0.003
High,VT,2025,0.002,0.001,0.006
High,VT,2026,0.002,0.001,0.009
High,VT,2027,0.002,0.001,0.012
High,VT,2028,0.002,0.002,0.015
High,VT,2029,0.002,0.002,0.015
High,VT,2030,0.002,0.002,0.015
High,WA,2024,1.28,0.775,6.53
High,WA,2025,1.31,0.893,7.52
High,WA,2026,1.35,1.02,8.56
High,WA,2027,1.38,1.14,9.64
High,WA,2028,1.41,1.21,10.2
High,WA,2029,1.44,1.23,10.4
High,WA,2030,1.47,1.26,10.6
High,WI,2024,0.115,0.034,0.283
High,WI,2025,0.237,0.078,0.656
High,WI,2026,0.358,0.143,1.21
High,WI,2027,0.479,0.229,1.94
High,WI,2028,0.6,0.335,2.83
High,WI,2029,0.721,0.44,3.72
High,WI,2030,0.842,0.542,4.58
High,WV,2024,0.0,0.0,0.0
High,WV,2025,0.0,0.0,0.0
High,WV,2026,0.0,0.0,0.0
High,WV,2027,0.0,0.0,0.0
High,WV,2028,0.0,0.0,0.0
High,WV,2029,0.0,0.0,0.0
High,WV,2030,0.0,0.0,0.0
High,WY,2024,0.376,0.196,1.66
High,WY,2025,0.496,0.248,2.1
High,WY,2026,0.616,0.318,2.69
High,WY,2027,0.736,0.407,3.44
High,WY,2028,0.856,0.515,4.35
High,WY,2029,0.976,0.612,5.18
High,WY,2030,1.1,0.706,5.97
