load_zone,avg_growth,peak_growth
p1,0.007662494357038918,0.02233978670158773
p10,0.0035824511504909395,0.01044453553134521
p100,0.09059036649772256,0.2641136646213262
p101,0.0012557846368634884,0.003661204775294903
p102,0.0012178452185753752,0.0035505934687612567
p103,0.0013695430098175088,0.003992864110871177
p104,0.0009066996870130684,0.0026434574260614263
p105,0.031287749607921134,0.09121855365173134
p106,0.03909481662818881,0.11397983788518272
p107,0.03856736472554223,0.11244206670370746
p108,0.00387458034360022,0.011296229974339907
p109,0.005462728135822825,0.015926430177522943
p11,0.004157564137277081,0.012121261262609614
p110,0.004417353660633783,0.01287867030836826
p111,0.02685794122421914,0.07830357194869099
p112,0.020578881146236183,0.05999714896258638
p113,0.022706716275076033,0.06620079241072292
p114,0.02191423697724071,0.06389034131553849
p115,0.012048354466157596,0.035126638446634426
p116,0.0,0.0
p117,0.0,0.0
p118,0.06723821298844257,0.19603111811467577
p119,0.011384757056142725,0.03319193886909541
p12,0.026371261195941242,0.07688467001975666
p120,0.011972726412013968,0.03490614698269321
p121,0.012413168480335912,0.03619024344035386
p122,0.014023453146213116,0.04088498307582104
p123,0.014975580577554215,0.04366088381228963
p124,0.08910726160883486,0.25978971404726836
p125,0.001318194779013071,0.0038431597887242674
p126,0.006257668709919395,0.018244057054395156
p127,0.00778006372600526,0.022682556888809546
p128,0.008286899937117065,0.02416022360167015
p129,0.0003229000741644672,0.0009414060809238412
p13,0.03526101211170385,0.10280248868750516
p130,0.0001531385875064295,0.00044647124307940116
p131,0.00023754801513931056,0.0006925645543507416
p132,0.005159965264620148,0.015043733545242246
p133,0.0001228719811248169,0.0003582298037724978
p134,0.0003973085571549184,0.001158341919482522
p14,0.01660076133288224,0.048399052577425716
p15,0.013110610327786931,0.038223615522971356
p16,0.018660760177953373,0.054404921248915356
p17,0.0026097040319323916,0.0076085186769615535
p18,0.00436109222383263,0.012714641672378724
p19,0.003957203903983908,0.011537116639894414
p2,0.004254392758428871,0.012403562383151743
p20,0.00431661060890165,0.012584956775607815
p21,0.022509516129101792,0.06562586093367204
p22,0.009993984944084655,0.02913718190795614
p23,0.020076192606489407,0.058531574668889245
p24,0.027953220944303636,0.08149682915517562
p25,0.011172967792324906,0.032574473229459396
p26,0.011765397917055997,0.034301686589157325
p27,0.007847761259433206,0.02287992714274189
p28,0.031412425507315156,0.09158204272846163
p29,0.022380905424411512,0.06525090004281246
p3,0.004773640243494137,0.013917413816012901
p30,0.030820597514097825,0.08985658486625014
p31,0.02508140294164174,0.073124124571542
p32,0.002728826268224127,0.007955816205178186
p33,0.002313675524529435,0.006745455892857001
p34,0.001930133200546802,0.005627249038853603
p35,0.004007871189158019,0.011684835684215585
p36,0.027645629611048328,0.08060005527763688
p37,0.018833062825984515,0.0549072647712435
p38,0.0018033754069621821,0.00525769025818801
p39,0.023490448077775117,0.06848574042996222
p4,0.0021088474747832375,0.006148285476982068
p40,0.02474780872391169,0.0721515400159493
p41,0.031193616653003797,0.09094411167024895
p42,0.0055240556255165,0.01610522874817924
p43,0.006607997151454548,0.01926542976864787
p44,0.006152116716930056,0.01793632318870647
p45,0.024370941272365165,0.07105279356472531
p46,0.0049092929010681186,0.014312905322368457
p47,0.00930373261205042,0.02712477065524792
p48,0.00970288025995747,0.028288474392072563
p49,0.0069665620736352185,0.020310815710476226
p5,0.051339255582387056,0.14967815513955343
p50,0.012468727431739213,0.036352223999931495
p51,0.011352276444389853,0.03309724255942313
p52,0.001142834491385969,0.003331901804185612
p53,0.001199830295248061,0.0034980714666787423
p54,0.004141422660361105,0.012074201240826987
p55,0.005241414170110481,0.015281195537505947
p56,0.0002798872616103232,0.0008160034361555284
p57,0.01798030378280613,0.05242106977457703
p58,0.0111187122452443,0.03241629270851125
p59,0.030925205924041688,0.09016156774211895
p6,0.030344781854416913,0.0884693576982742
p60,0.014581388595982236,0.0425116281812294
p61,0.012668541909774955,0.036934777488549335
p62,0.01393281341077679,0.040620725477448286
p63,0.019269576043482894,0.05617990677487245
p64,0.02199335831119953,0.06412101733849195
p65,0.021824032635192614,0.06362735309433865
p66,0.019925844859949304,0.05809324004412246
p67,0.02163830788655363,0.0630858778153403
p68,0.0073838874829388335,0.02152751619919258
p69,0.026081909295687433,0.07604107269593857
p7,0.04681414618627122,0.13648532601626476
p70,0.02911210418267296,0.08487552062963441
p71,0.003789215334703222,0.011047350692779817
p72,0.004086092010018749,0.01191288628656893
p73,0.004003300869457105,0.011671511045720721
p74,0.0021358770562445173,0.006227089461212541
p75,0.004059099966074342,0.011834191741912721
p76,0.004484901028469324,0.013075602758741091
p77,0.004959095579962547,0.014458103631408275
p78,0.005078779563464586,0.014807038917810903
p79,0.004027336687633332,0.011741586797327872
p8,0.002701402339877035,0.007875862513697698
p80,0.013953433569642737,0.04068084297044128
p81,0.010483241242631003,0.030563594880370706
p82,0.009564824698384822,0.02788597728671839
p83,0.010936331639621155,0.031884567184382845
p84,0.004987130642347015,0.014539839066979513
p85,0.00023747141370411562,0.0006923412250217329
p86,0.0025166757309047494,0.007337297282813378
p87,0.018820018745882905,0.054869235122723015
p88,0.017165077571168252,0.05004430069222154
p89,0.008152557049259546,0.0237685506920705
p9,0.0030769776211327926,0.008970841678796198
p90,0.0046106682489961415,0.013442273551527998
p91,0.001269807843229831,0.003702089038890955
p92,0.009752478728788372,0.028433077332417945
p93,0.004461785538572238,0.013008210198336891
