load_zone,avg_growth,peak_growth
p1,0.0040421502928120745,0.01178477544642236
p10,0.00188505044361853,0.005495811529503669
p100,0.0498284861428242,0.14527354934638795
p101,0.0006598133640094428,0.0019236672978802884
p102,0.0006398638801303758,0.0018655051389410494
p103,0.0007196360580572492,0.002098078679170856
p104,0.0004762919676051247,0.0013886158303273223
p105,0.01673296904707966,0.04878450044829582
p106,0.020996121527819156,0.06121360155537559
p107,0.020707087953548697,0.06037093230200537
p108,0.0020391389427119044,0.005945052213087548
p109,0.002877807302576363,0.008390166219015848
p11,0.0021884567127974375,0.006380383970481047
p110,0.0023255818978009657,0.006780168589125566
p111,0.014328685359862758,0.041774879006527016
p112,0.010939701001436486,0.031894390463953134
p113,0.012085611082478298,0.0352352590632438
p114,0.01165852667146794,0.03399010647963633
p115,0.00637276887603444,0.018579628350178932
p116,0.0,0.0
p117,0.0,0.0
p118,0.03661351408518887,0.10674567013642539
p119,0.006019363082498286,0.017549283702753445
p12,0.014065205879439047,0.04100671199476226
p120,0.006332478548578546,0.018462163034113157
p121,0.006567170833811087,0.019146401788271174
p122,0.00742623996731151,0.021650993675727197
p123,0.007934937417021892,0.023134086777353072
p124,0.04898313394455589,0.14280894879765355
p125,0.0006926322390012896,0.0020193498045082284
p126,0.003298212876429396,0.009615846840810745
p127,0.004104467397354261,0.011966459211325121
p128,0.004373214379881363,0.012749983477262833
p129,0.00016955741162671956,0.0004943398628326047
p13,0.018898578142362732,0.05509827283276748
p130,8.040560485245152e-05,0.00023442027860886435
p131,0.00012473158476322688,0.0003636514258574019
p132,0.002717798056927956,0.00792366376544031
p133,6.451284175779115e-05,0.00018808537497432787
p134,0.00020863978085650103,0.0006082834106779579
p14,0.008804502591717833,0.02566927957759196
p15,0.006939052409049795,0.020230612057405208
p16,0.00990900347005974,0.028889420811524253
p17,0.0013723617326086845,0.004001082017859641
p18,0.0022958815890434803,0.006693578174608129
p19,0.0020827302609116582,0.006072141474788467
p2,0.0022395608014238455,0.006529376502977237
p20,0.0022724012859307585,0.006625122011538334
p21,0.01197930160431726,0.03492531677085006
p22,0.005279583884036043,0.015392478264490844
p23,0.010669372815890643,0.031106256245103922
p24,0.01492213576704815,0.0435050669710132
p25,0.005906630157066273,0.017220614030575
p26,0.006222043918866049,0.018140193978438787
p27,0.004140354161845883,0.012071086063469747
p28,0.016800793445294948,0.04898224057294612
p29,0.011909980431753509,0.034723212842700926
p3,0.0025137127508096935,0.007328658797714359
p30,0.016478911117995043,0.04804380170437
p31,0.01336754817388286,0.038972710583912655
p32,0.001435111987007076,0.004184028618980814
p33,0.0012164626969508596,0.003546562765864407
p34,0.001014561804641323,0.0029579263951358702
p35,0.00210946399088896,0.0061500829123416504
p36,0.01475540713904433,0.04301897434724087
p37,0.010001500950314934,0.029159094612645833
p38,0.0009478564885980756,0.0027634489230710154
p39,0.01250833839752774,0.03646770865617097
p4,0.0011086268708304647,0.0032321704489413753
p40,0.01318726770049583,0.03844710793622812
p41,0.016681765801731974,0.048635218827168675
p42,0.002910225917391651,0.008484681778360982
p43,0.0034836138566625152,0.010156378182131526
p44,0.0032423680782782682,0.00945303290308257
p45,0.012983677929285786,0.03785354768658442
p46,0.00258536343374427,0.00753755434780519
p47,0.004912875682284712,0.014323350820198238
p48,0.00512489302100505,0.014941481405795298
p49,0.003673455363357725,0.010709855753411318
p5,0.027745145000033222,0.08089018959419997
p50,0.006596784297213665,0.01923273900759991
p51,0.006002072221594101,0.017498872684292927
p52,0.0006004242001820259,0.0017505198617492103
p53,0.0006303915229808332,0.0018378887481912604
p54,0.002179938178826335,0.006355548424370681
p55,0.002760837716459852,0.008049144681816877
p56,0.00014696701553185143,0.0004284781986344263
p57,0.009543885588254364,0.027824929900287915
p58,0.005877755069378043,0.017136429524866083
p59,0.01653579142522399,0.04820963463967887
p6,0.01622026433038304,0.04728972427252234
p60,0.007724263567250311,0.022519873095984935
p61,0.006703303138994476,0.019543291693736316
p62,0.007377842344314933,0.021509891767624106
p63,0.010235913757917103,0.029842518557636043
p64,0.011701150516050918,0.03411437509922893
p65,0.01160993668385113,0.033848443737895424
p66,0.010588549957256888,0.03087061947483576
p67,0.01150990803225671,0.03355681301863571
p68,0.003894511212785279,0.011354337862662517
p69,0.013908619466835415,0.04055018871462196
p7,0.025242337542045412,0.0735933248708702
p70,0.015550776996642979,0.04533785278808483
p71,0.0019941059499182234,0.005813759789671821
p72,0.0021507391651627294,0.006270419521594723
p73,0.002107052470773585,0.006143052193297195
p74,0.0011228555482714064,0.0032736537576741683
p75,0.0021364956862495177,0.006228893059585989
p76,0.0023612427513481915,0.006884136804268166
p77,0.0026116718211313117,0.0076142557110041535
p78,0.002674901759714743,0.007798600817870139
p79,0.002119735075218232,0.006180027969710492
p8,0.0014206650027115408,0.0041419088427558605
p80,0.00738885215798657,0.021541990569605294
p81,0.005539690954655008,0.016150813110357924
p82,0.0050515499679884,0.014727651798347681
p83,0.00578070461787239,0.01685348166416881
p84,0.002626482119706175,0.007657434719788068
p85,0.00012469135684045618,0.00036353414248043993
p86,0.0013233635301199698,0.0038582291371454694
p87,0.009994497861431917,0.029138677304050342
p88,0.009106817029444603,0.02655066881469103
p89,0.004301963918854401,0.012542254762882779
p9,0.0016185618618365094,0.004718871567394575
p90,0.0024276480153897495,0.007077739483164531
p91,0.0006671873545209817,0.0019451659597378313
p92,0.005151245510249813,0.015018311346719573
p93,0.0023490388608475854,0.006848556704889348
p94,0.012140804911776826,0.03539617511959825
p95,0.007360192935192966,0.021458435411922962
p96,0.006534738412405483,0.019051845976200445
p97,0.003733995917936106,0.010886360036880639
p98,0.004015292431126083,0.011706472106365133
p99,0.048818752293819934,0.14232969872006979
