load_zone,avg_growth,peak_growth
p1,0.00304528282961547,0.0031080054730689977
p10,0.0014167742610884382,0.001454763418470284
p100,0.0392551520969282,0.04037687894645514
p101,0.0004952268478652933,0.0005085844652081839
p102,0.0004802429027128685,0.0004931972579620414
p103,0.0005401633465438316,0.0005606849160224581
p104,0.0003574101939045615,0.00037100029338343887
p105,0.012777798261449202,0.013270295630965823
p106,0.01610294088302755,0.016714431249465145
p107,0.015876648973274676,0.016480154157048288
p108,0.0015328477011833375,0.0015690931301828304
p109,0.0021653013782272357,0.002216353547224159
p11,0.0016453651344958686,0.0016894373247091643
p110,0.0017487276143268726,0.0017900367967000896
p111,0.010914607580568392,0.011291476397798927
p112,0.008303462875410172,0.008593580087486119
p113,0.009184361699339672,0.009503976714880569
p114,0.008855807327044385,0.00916444810485384
p115,0.004813389450894157,0.0050163205869764305
p116,0.0,0.0
p117,0.0,0.0
p118,0.028506648150715463,0.029358780064486112
p119,0.004544711261500911,0.0047365532288492496
p12,0.010710963288130593,0.010986470736880749
p120,0.00478274833449488,0.004984416214674603
p121,0.004961270654025629,0.005133795750553505
p122,0.005615494317381398,0.005851366859475071
p123,0.006003453020495542,0.00621122500330884
p124,0.03856109353501469,0.03966614945327751
p125,0.0005198783754520875,0.0005381715802970088
p126,0.0024827751612908067,0.0025625893809142486
p127,0.003092443567200842,0.0031996777188092462
p128,0.0032959007495736437,0.0034100828246466097
p129,0.0001271923077243997,0.00017138200715272056
p13,0.014463524812698525,0.014829397720931059
p130,6.030965762104934e-05,4.402927574576054e-05
p131,9.356181219710713e-05,0.00010017053431132794
p132,0.002044545590468516,0.0021055147832322874
p133,4.8388142455335625e-05,0.0
p134,0.00015651654858728214,0.00012099742564286586
p14,0.006667588597296437,0.0068974202340796875
p15,0.005244330637415917,0.00542628333036177
p16,0.007512896082911613,0.0077708695510427805
p17,0.0010308558576515026,0.0008752753670717706
p18,0.0017263374058311687,0.001466481754219151
p19,0.0015656918175501744,0.0013298730044544183
p2,0.0016838828134702055,0.0017187812167269723
p20,0.0017086373191681492,0.00145142862569414
p21,0.009102551576396722,0.009445771531003455
p22,0.003982948482450954,0.004136693538053571
p23,0.008095953287702073,0.008402620557331097
p24,0.011373678570909762,0.01179814491950859
p25,0.004459048254259246,0.004328687617161764
p26,0.004698775408668254,0.004561548329257592
p27,0.003119605080431409,0.0032333687992271987
p28,0.012830486116672812,0.013278148407031676
p29,0.009049215198585925,0.009370377288190346
p3,0.0018905881176782824,0.0019297334890244766
p30,0.01258050101616437,0.013019933617405943
p31,0.010172258211842644,0.01054372956994376
p32,0.001078066539951017,0.0011288990216262729
p33,0.0009135924256244987,0.0007921346514050409
p34,0.0007617880204437988,0.0006604520377040402
p35,0.0015858360578939745,0.001347001516570412
p36,0.011244648947701386,0.011583631461327126
p37,0.0075837750449874175,0.007816202421788265
p38,0.0007116489220135858,0.0007452620880206151
p39,0.009509844653058153,0.009673724817997886
p4,0.0008325047729604851,0.0008498257600890735
p40,0.010033174793677047,0.0102056711922891
p41,0.012738026787730172,0.012954419075015045
p42,0.0021897722309967005,0.002277239604888237
p43,0.002622875567717564,0.0027274320394505835
p44,0.0024405865207788313,0.0025379587506462187
p45,0.009876169214179997,0.010072141112936084
p46,0.0019446319430214132,0.0020157387324304388
p47,0.003704813785239125,0.0038441664295594258
p48,0.0038655943532184267,0.004138095236682959
p49,0.0027663903100407783,0.0028340954341865565
p5,0.021421354642130686,0.021920136582093352
p50,0.004983802930664805,0.005104550907746752
p51,0.0045315710163051914,0.004641588203047942
p52,0.0004506219493867203,0.0004630824802889233
p53,0.0004731285027304022,0.00048621002173754313
p54,0.0016389450501830272,0.0016957943456143987
p55,0.002077022589546118,0.0021489212766196975
p56,0.00011024348048183086,0.000109742621119846
p57,0.007233245984531234,0.007735083054456249
p58,0.004437110100392827,0.004610754415148577
p59,0.0126246648365278,0.013478806857008419
p6,0.012379740696492947,0.01267965295145368
p60,0.005842731918232369,0.006250763764128031
p61,0.005064862663080039,0.005419876412262381
p62,0.005578605492585709,0.005968678909924918
p63,0.007763461508243141,0.008300743441706171
p64,0.008888584867402294,0.009500496106155998
p65,0.00881844532027487,0.009425727308010723
p66,0.008033934321735936,0.008589229070310678
p67,0.008741542535584568,0.009343745378960433
p68,0.0029335770812841666,0.003050350646778721
p69,0.01058998772971842,0.010799456732387247
p7,0.019441451436123414,0.01989803780367283
p70,0.011860560471881554,0.012093841125391469
p71,0.001498920671818782,0.0015509467607286442
p72,0.00161693981761446,0.0016730315473219015
p73,0.0015840188948370582,0.0016389769796683051
p74,0.0008432029776292982,0.0008751922331609041
p75,0.001606206029472368,0.00166503034757004
p76,0.0017756132441817396,0.0018405906765810442
p77,0.001964477660315156,0.002036303511023574
p78,0.002012179827799443,0.002085733508420784
p79,0.0015935757804186323,0.0016519409614133007
p8,0.001067196646043156,0.0010958583777485043
p80,0.005586996876816519,0.005695728417951074
p81,0.00418036321422699,0.0042622387840804965
p82,0.0038099672979463595,0.0038847138409117132
p83,0.004363384927541958,0.004448774267705957
p84,0.001975650306221599,0.0020440719595504753
p85,9.35316327923541e-05,9.310666707285087e-05
p86,0.0009939962276241943,0.001033522259164199
p87,0.007578408244585111,0.0078822358866244
p88,0.0068987659981600835,0.0071762083697815005
p89,0.003241948425743324,0.003240735639017167
p9,0.00121612435537366,0.0012487634491646915
p90,0.0018256835057977039,0.0018249961986771535
p91,0.0005007655799746935,0.0005142722467887939
p92,0.0038855835509348235,0.00404128876288623
p93,0.001766412180899346,0.0018081357340207216
p94,0.009226842896620902,0.009521799431897016
p95,0.00556515399429669,0.005786790709218614
p96,0.004936595118683718,0.005133769097141805
p97,0.002812169735990855,0.002884079830416386
p98,0.0030249591347883964,0.0031022351965026562
p99,0.03842623133528078,0.03952803654605708
