Utility ID,Utility Name,Parent Company
60842,"Paradise Solar Urban Renewal, LLC","NextEra Energy, Inc."
63294,Nutmeg Solar LLC,"NextEra Energy, Inc."
63116,"Bluebell Solar II, LLC","NextEra Energy, Inc."
63073,"Chicot Solar, LLC","NextEra Energy, Inc."
61540,"Coolidge Solar I, LLC","NextEra Energy, Inc."
60871,"Stuttgart Solar, LLC","NextEra Energy, Inc."
60476,"Bluebell Solar, LLC","NextEra Energy, Inc."
60208,Chaves Solar LLC,"NextEra Energy, Inc."
61123,Upton County Solar 2 LLC,Vistra Corp.
60054,Duke Energy Florida Solar Solutions,Duke Energy Corp.
60409,"Blue Summit Storage, LLC","NextEra Energy, Inc."
6862,"Green Mountain Storage, LLC","NextEra Energy, Inc."
6854,NextEra Energy Seabrook LLC,"NextEra Energy, Inc."
5221,Dominion Energy Nuclear Conn Inc,Dominion Energy
12465,"System Energy Resources, Inc",Entergy Corp.
57372,Auwahi Wind Energy LLC,"American Electric Power Co., Inc."
54809,Wailuku Holding Company LLC,"Berkshire Hathaway, Inc."
