from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p110,p117,PJM,PJM,PJM,Existing,PJM,,2996.3,,,2996.3,165.7764454,0.942140146
p110,p118,PJM,PJM,PJM,Existing,PJM,,379.7,,,379.7,277.2940646,0.979143425
p111,p112,PJM,PJM,PJM,Existing,PJM,,5400.9,,,5400.9,153.8790491,0.946561373
p111,p115,PJM,PJM,PJM,Existing,PJM,,2707.8,,,2707.8,128.9899931,0.954962665
p111,p116,PJM,PJM,PJM,Existing,PJM,,1130.1,,,1130.1,254.2982198,0.980828642
p111,p122,PJM,PJM,PJM,Existing,PJM,,1397.3,,,1397.3,590.0067364,0.966171784
p112,p113,PJM,PJM,PJM,Existing,PJM,,3198.6,,,3198.6,95.08283302,0.967019349
p112,p114,PJM,PJM,PJM,Existing,PJM,,2557.5,,,2557.5,129.6697638,0.954901225
p112,p115,PJM,PJM,PJM,Existing,PJM,,1640.9,,,1640.9,250.7380724,0.981151258
p112,p116,PJM,PJM,PJM,Existing,PJM,,2407.8,,,2407.8,276.4082797,0.979235197
p112,p117,PJM,PJM,PJM,Existing,PJM,,1045.6,,,1045.6,261.8634202,0.980384092
p112,p118,PJM,PJM,PJM,Existing,PJM,,0.0,,,0.0,490.1517934,0.971868501
p113,p114,PJM,PJM,PJM,Existing,PJM,,2489.3,,,2489.3,34.50503531,0.98787889
p115,p116,PJM,PJM,PJM,Existing,PJM,,2196.2,,,2196.2,68.11648111,0.976315944
p115,p122,PJM,PJM,PJM,Existing,PJM,,2231.1,,,2231.1,371.1423689,0.972160007
p116,p117,PJM,PJM,PJM,Existing,PJM,,3363.5,,,3363.5,252.1234447,0.981081545
p116,p118,PJM,PJM,PJM,Existing,PJM,,425.4,,,425.4,373.4673553,0.971945801
p116,p120,PJM,PJM,PJM,Existing,PJM,,296.3,,,296.3,236.7369029,0.917556755
p116,p121,PJM,PJM,PJM,Existing,PJM,,3075.1,,,3075.1,253.9788369,0.980927589
p117,p118,PJM,PJM,PJM,Existing,PJM,,8936.9,,,8936.9,255.4581821,0.980863724
p119,p122,PJM,PJM,PJM,Existing,PJM,,2530.1,,,2530.1,253.6683303,0.980975558
