scenario_id,zone,state,variant,siting,soft_cap_mw,cfe_target,grid_draw_MWh_yr,grid_draw_MW_mean,onsite_MWh_yr,grid_fraction_pct,onsite_build_MW,storage_power_MW,storage_energy_MWh,annual_cap_excess_MWh,hours_above_grid_cap,grid_cap_penalty_per_yr,cfe_shortfall_MWh,cfe_shortfall_penalty_per_yr,annual_co2_tonne,co2_lb_kg_per_MWh,scope1_co2_tonne,mb_uncovered_grid_MWh,annual_co2_mb_tonne,co2_mb_kg_per_MWh,system_co2_tonne,total_system_cost,gas_cc_MW,gas_ct_MW,nuclear_MW,wind_MW,solar_MW,consequential_co2_tonne,co2_consequential_kg_per_MWh
p27_SC_CFE75,p27,AZ,SC_CFE75,fixed,250.0,0.75,1293560,147.7,7466440,14.8,2304.7,1528.2,222.3,0.0,3.4,2,12630.4,6315225,1713025,195.6,1461813,0,1461813,166.9,1018465492,804283460390.6661,697.7,0.0,0,1545.2,61.8,945931,108.0
p27_SC_CFE100,p27,AZ,SC_CFE100,fixed,250.0,1.0,1299600,148.4,7460400,14.8,2504.9,2514.7,305.2,0.0,3.4,2,21889.1,10944570,1747913,199.5,1496725,0,1496725,170.9,1018499873,804457934439.932,706.7,0.0,0,1768.3,29.9,980312,111.9
p27_MC_CFE75,p27,AZ,MC_CFE75,fixed,900.0,0.75,4862090,555.0,3897910,55.5,1719.7,446.0,384.0,0.0,3.4,3,76364.6,38182275,1275278,145.6,177937,1203379,449532,51.3,1021915925,804078238109.0294,74.6,0.0,0,1645.1,0.0,4396364,501.9
p27_MC_CFE100,p27,AZ,MC_CFE100,fixed,900.0,1.0,5428580,619.7,3331420,62.0,1731.8,1528.7,279.4,0.0,3.4,2,117975.7,58987840,1353065,154.5,138642,1621387,501361,57.2,1022243528,804244351123.2303,67.2,0.0,0,1664.6,0.0,4723967,539.3
p27_FLEX_SC_CFE100,p27,AZ,FLEX_SC_CFE100,flex,250.0,1.0,0,0.0,8760000,0.0,2572.0,2839.7,4741.1,0.0,3.4,2,0.3,155,2469582,281.9,2469582,0,2469582,281.9,1017520221,804821880733.3109,1000.0,0.0,0,0.0,1572.0,660,0.1
p27_FLEX_MC_CFE100,p27,AZ,FLEX_MC_CFE100,flex,900.0,1.0,0,0.0,8760000,0.0,2572.0,2839.7,4741.1,0.0,3.4,2,33.2,16620,2469582,281.9,2469582,0,2469582,281.9,1017519607,804821867495.7444,1000.0,0.0,0,0.0,1572.0,46,0.0
p33_BASE,p33,CO,BASE,fixed,,,8760000,1000.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2482577,283.4,0,8759999,2482577,283.4,1024185415,803710861681.6486,0.0,0.0,0,0.0,0.0,6665854,760.9
p33_SC,p33,CO,SC,fixed,250.0,,2186000,249.5,6574000,25.0,918.2,0.0,0.0,0.0,3.4,3,0.0,0,2612532,298.2,1999440,1860253,2521172,287.8,1018333386,803947299442.25,750.0,0.0,0,0.0,168.2,813825,92.9
p33_MC,p33,CO,MC,fixed,900.0,,7883470,899.9,876530,90.0,122.4,0.0,0.0,0.0,3.4,3,0.0,0,2503394,285.8,266592,7840037,2491071,284.4,1023661469,803740075341.3959,100.0,0.0,0,0.0,22.4,6141908,701.1
p33_SC_CURT,p33,CO,SC_CURT,fixed,250.0,,2186000,249.5,6574000,25.0,918.2,0.0,0.0,0.0,3.4,2,0.0,0,2612532,298.2,1999440,1860254,2521172,287.8,1018343808,803947233211.772,750.0,0.0,0,0.0,168.2,824247,94.1
p33_MC_CURT,p33,CO,MC_CURT,fixed,900.0,,7110200,811.7,1649800,81.2,200.0,0.0,0.0,0.0,3.4,2,0.0,0,2541460,290.1,527934,7110196,2541459,290.1,1023033226,803766876032.9017,200.0,0.0,0,0.0,0.0,5513665,629.4
p33_FLEX_SC,p33,CO,FLEX_SC,flex,250.0,,228035,26.0,8531965,2.6,1178.3,0.0,0.0,0.0,3.4,1,0.0,0,2572650,293.7,2551930,0,2551930,291.3,1016969079,804009523573.3124,957.2,0.0,0,164.1,56.9,-550482,-62.8
p33_FLEX_MC,p33,CO,FLEX_MC,flex,900.0,,671658,76.7,8088342,7.7,1000.0,0.0,0.0,0.0,0.0,1,0.0,0,2610277,298.0,2588264,671643,2610276,298.0,1015616310,803975295319.9677,1000.0,0.0,0,0.0,0.0,-1903251,-217.3
p33_SC_CFE75,p33,CO,SC_CFE75,fixed,250.0,0.75,1701980,194.3,7058020,19.4,2698.0,1531.2,1224.2,0.0,3.4,3,955.2,477590,1972437,225.2,1532835,0,1532835,175.0,1018183748,804535869729.4164,679.2,0.0,0,1447.3,571.5,664187,75.8
p33_SC_CFE100,p33,CO,SC_CFE100,fixed,250.0,1.0,1688270,192.7,7071730,19.3,3436.5,2076.1,1659.8,0.0,3.4,2,839.6,419820,1691467,193.1,1255825,0,1255825,143.4,1018151753,804766829069.9271,654.0,0.0,0,1962.3,820.2,632192,72.2
p33_MC_CFE75,p33,CO,MC_CFE75,fixed,900.0,0.75,7465860,852.3,1294140,85.2,1110.3,1116.7,848.0,0.0,3.4,4,45486.0,22742985,2195927,250.7,129194,5854032,1749734,199.7,1022669545,804129088594.5538,68.5,0.0,0,960.4,81.4,5149984,587.9
p33_MC_CFE100,p33,CO,MC_CFE100,fixed,900.0,1.0,7095350,810.0,1664650,81.0,1718.0,1698.6,1313.3,0.0,3.4,3,39173.7,19586845,2028593,231.6,87628,4486464,1314920,150.1,1022378010,804358020422.0215,46.5,0.0,0,1487.4,184.1,4858449,554.6
p33_FLEX_SC_CFE100,p33,CO,FLEX_SC_CFE100,flex,250.0,1.0,409290,46.7,8350710,4.7,2969.1,1134.6,769.3,0.0,3.4,1,618.4,309175,958842,109.5,860609,0,860609,98.2,1017880436,804224178444.1005,512.2,0.0,0,2205.8,251.1,360875,41.2
