load_zone,avg_growth,peak_growth
p1,0.017028094432458563,0.017028094432458563
p10,0.016688120975405285,0.016688120975405285
p100,0.011570691505368602,0.011570691505368602
p101,0.012146079295485945,0.012146079295485945
p102,0.012146079295485945,0.012146079295485945
p103,0.01225946201582584,0.01225946201582584
p104,0.010685434081808554,0.010685434081808554
p105,0.011122516900762047,0.011122516900762047
p106,0.011122516900762047,0.011122516900762047
p107,0.011122516900762047,0.011122516900762047
p108,0.011122516900762047,0.011122516900762047
p109,0.010685434081808554,0.010685434081808554
p11,0.016688120975405285,0.016688120975405285
p110,0.010685434081808554,0.010685434081808554
p111,0.010685434081808554,0.010685434081808554
p112,0.010685434081808554,0.010685434081808554
p113,0.010685434081808554,0.010685434081808554
p114,0.010685434081808554,0.010685434081808554
p115,0.010685434081808554,0.010685434081808554
p116,0.010685434081808554,0.010685434081808554
p117,0.010685434081808554,0.010685434081808554
p118,0.010685434081808554,0.010685434081808554
p119,0.009732465903212528,0.009732465903212528
p12,0.018840369408077207,0.018840369408077207
p120,0.010685434081808554,0.010685434081808554
p121,0.010685434081808554,0.010685434081808554
p122,0.009732465903212528,0.009732465903212528
p123,0.009732465903212528,0.009732465903212528
p124,0.009732465903212528,0.009732465903212528
p125,0.009732465903212528,0.009732465903212528
p126,0.009732465903212528,0.009732465903212528
p127,0.009439890631717018,0.009439890631717018
p128,0.011134281131881085,0.011134281131881085
p129,0.011920945982829112,0.011920945982829112
p13,0.018840369408077207,0.018840369408077207
p130,0.011920945982829112,0.011920945982829112
p131,0.011920945982829112,0.011920945982829112
p132,0.011920945982829112,0.011920945982829112
p133,0.011920945982829112,0.011920945982829112
p134,0.011920945982829112,0.011920945982829112
p14,0.017028094432458563,0.017028094432458563
p15,0.018840369408077207,0.018840369408077207
p16,0.018840369408077207,0.018840369408077207
p17,0.017028094432458563,0.017028094432458563
p18,0.017028094432458563,0.017028094432458563
p19,0.009679849659026907,0.009679849659026907
p2,0.017028094432458563,0.017028094432458563
p20,0.017028094432458563,0.017028094432458563
