GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p122_nuclear_nuclear__large_moderate_0,2035,15
p123_nuclear_nuclear__large_moderate_0,2035,15
p124_nuclear_nuclear__large_moderate_0,2035,15
p125_nuclear_nuclear__large_moderate_0,2035,15
p126_nuclear_nuclear__large_moderate_0,2035,15
p127_nuclear_nuclear__large_moderate_0,2035,15
p128_nuclear_nuclear__large_moderate_0,2035,15
p129_nuclear_nuclear__large_moderate_0,2035,15
p130_nuclear_nuclear__large_moderate_0,2035,15
p131_nuclear_nuclear__large_moderate_0,2035,15
p132_nuclear_nuclear__large_moderate_0,2035,15
p133_nuclear_nuclear__large_moderate_0,2035,15
p134_nuclear_nuclear__large_moderate_0,2035,15
