GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p10_conventional_hydroelectric_1,1987.0,0,57025,.,.
p10_conventional_hydroelectric_1,1992.0,0,57025,.,.
p10_conventional_hydroelectric_1,1994.0,0,57025,.,.
p10_conventional_hydroelectric_1,1996.0,0,57025,.,.
p10_conventional_steam_coal_1,1978.0,0,79915.3333333333,.,.
p10_conventional_steam_coal_2,1978.0,0,79915.3333333333,.,.
p10_geothermal_1,1982.0,0,253439,.,.
p10_geothermal_1,1984.0,0,253439,.,.
p10_geothermal_1,1985.0,0,253439,.,.
p10_geothermal_1,1987.0,0,253439,.,.
p10_geothermal_1,1988.0,0,253439,.,.
p10_geothermal_1,1989.0,0,253439,.,.
p10_geothermal_1,1990.0,0,253439,.,.
p10_geothermal_1,1996.0,0,253439,.,.
p10_geothermal_1,2000.0,0,253439,.,.
p10_geothermal_1,2003.0,0,253439,.,.
p10_geothermal_1,2006.0,0,253439,.,.
p10_geothermal_1,2007.0,0,253439,.,.
p10_geothermal_1,2008.0,0,253439,.,.
p10_geothermal_1,2009.0,0,253439,.,.
p10_geothermal_1,2012.0,0,253439,.,.
p10_geothermal_1,2018.0,0,253439,.,.
p10_geothermal_1,2020.0,0,253439,.,.
p10_geothermal_1,2022.0,0,253439,.,.
p10_geothermal_1,2023.0,0,253439,.,.
p10_hydroelectric_pumped_storage_1,1973.0,0,57025,0,0
p10_hydroelectric_pumped_storage_1,1974.0,0,57025,0,0
p10_hydroelectric_pumped_storage_1,1976.0,0,57025,0,0
p10_hydroelectric_pumped_storage_1,1977.0,0,57025,0,0
p10_hydroelectric_pumped_storage_1,1978.0,0,57025,0,0
p10_natural_gas_fired_combined_cycle_1,1952.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1987.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1988.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1989.0,0,19989,.,.
