timestamp,time_row,timeseries,time_column
20305081314,20305081314,2030_p1685,2012p1685
20305081315,20305081315,2030_p1685,2012p1685
20305081316,20305081316,2030_p1685,2012p1685
20305081317,20305081317,2030_p1685,2012p1685
20305081318,20305081318,2030_p1685,2012p1685
20305081319,20305081319,2030_p1685,2012p1685
20305081320,20305081320,2030_p1685,2012p1685
20305081321,20305081321,2030_p1685,2012p1685
20305081322,20305081322,2030_p1685,2012p1685
20305081323,20305081323,2030_p1685,2012p1685
20307030200,20307030200,2030_p2251,2012p2251
20307030201,20307030201,2030_p2251,2012p2251
20307030202,20307030202,2030_p2251,2012p2251
20307030203,20307030203,2030_p2251,2012p2251
20307030204,20307030204,2030_p2251,2012p2251
20307030205,20307030205,2030_p2251,2012p2251
20307030206,20307030206,2030_p2251,2012p2251
20307030207,20307030207,2030_p2251,2012p2251
20307030208,20307030208,2030_p2251,2012p2251
20307030209,20307030209,2030_p2251,2012p2251
20307030210,20307030210,2030_p2251,2012p2251
20307030211,20307030211,2030_p2251,2012p2251
20307030212,20307030212,2030_p2251,2012p2251
20307030213,20307030213,2030_p2251,2012p2251
20307030214,20307030214,2030_p2251,2012p2251
20307030215,20307030215,2030_p2251,2012p2251
20307030216,20307030216,2030_p2251,2012p2251
20307030217,20307030217,2030_p2251,2012p2251
20307030218,20307030218,2030_p2251,2012p2251
20307030219,20307030219,2030_p2251,2012p2251
20307030220,20307030220,2030_p2251,2012p2251
20307030221,20307030221,2030_p2251,2012p2251
20307030222,20307030222,2030_p2251,2012p2251
20307030223,20307030223,2030_p2251,2012p2251
20306040600,20306040600,2030_p1921,2012p1921
20306040601,20306040601,2030_p1921,2012p1921
20306040602,20306040602,2030_p1921,2012p1921
20306040603,20306040603,2030_p1921,2012p1921
20306040604,20306040604,2030_p1921,2012p1921
20306040605,20306040605,2030_p1921,2012p1921
20306040606,20306040606,2030_p1921,2012p1921
20306040607,20306040607,2030_p1921,2012p1921
20306040608,20306040608,2030_p1921,2012p1921
20306040609,20306040609,2030_p1921,2012p1921
20306040610,20306040610,2030_p1921,2012p1921
20306040611,20306040611,2030_p1921,2012p1921
20306040612,20306040612,2030_p1921,2012p1921
20306040613,20306040613,2030_p1921,2012p1921
20306040614,20306040614,2030_p1921,2012p1921
20306040615,20306040615,2030_p1921,2012p1921
20306040616,20306040616,2030_p1921,2012p1921
20306040617,20306040617,2030_p1921,2012p1921
20306040618,20306040618,2030_p1921,2012p1921
20306040619,20306040619,2030_p1921,2012p1921
20306040620,20306040620,2030_p1921,2012p1921
20306040621,20306040621,2030_p1921,2012p1921
20306040622,20306040622,2030_p1921,2012p1921
20306040623,20306040623,2030_p1921,2012p1921
20305072100,20305072100,2030_p1662,2012p1662
20305072100_prm,20305072100,2030_p1662_prm,2012p1662
20305072101,20305072101,2030_p1662,2012p1662
20305072101_prm,20305072101,2030_p1662_prm,2012p1662
20305072102,20305072102,2030_p1662,2012p1662
20305072102_prm,20305072102,2030_p1662_prm,2012p1662
20305072103,20305072103,2030_p1662,2012p1662
20305072103_prm,20305072103,2030_p1662_prm,2012p1662
20305072104,20305072104,2030_p1662,2012p1662
20305072104_prm,20305072104,2030_p1662_prm,2012p1662
20305072105,20305072105,2030_p1662,2012p1662
20305072105_prm,20305072105,2030_p1662_prm,2012p1662
20305072106,20305072106,2030_p1662,2012p1662
20305072106_prm,20305072106,2030_p1662_prm,2012p1662
20305072107,20305072107,2030_p1662,2012p1662
20305072107_prm,20305072107,2030_p1662_prm,2012p1662
20305072108,20305072108,2030_p1662,2012p1662
20305072108_prm,20305072108,2030_p1662_prm,2012p1662
20305072109,20305072109,2030_p1662,2012p1662
20305072109_prm,20305072109,2030_p1662_prm,2012p1662
20305072110,20305072110,2030_p1662,2012p1662
20305072110_prm,20305072110,2030_p1662_prm,2012p1662
20305072111,20305072111,2030_p1662,2012p1662
20305072111_prm,20305072111,2030_p1662_prm,2012p1662
20305072112,20305072112,2030_p1662,2012p1662
20305072112_prm,20305072112,2030_p1662_prm,2012p1662
20305072113,20305072113,2030_p1662,2012p1662
20305072113_prm,20305072113,2030_p1662_prm,2012p1662
20305072114,20305072114,2030_p1662,2012p1662
20305072114_prm,20305072114,2030_p1662_prm,2012p1662
20305072115,20305072115,2030_p1662,2012p1662
20305072115_prm,20305072115,2030_p1662_prm,2012p1662
20305072116,20305072116,2030_p1662,2012p1662
20305072116_prm,20305072116,2030_p1662_prm,2012p1662
20305072117,20305072117,2030_p1662,2012p1662
20305072117_prm,20305072117,2030_p1662_prm,2012p1662
20305072118,20305072118,2030_p1662,2012p1662
20305072118_prm,20305072118,2030_p1662_prm,2012p1662
20305072119,20305072119,2030_p1662,2012p1662
20305072119_prm,20305072119,2030_p1662_prm,2012p1662
20305072120,20305072120,2030_p1662,2012p1662
20305072120_prm,20305072120,2030_p1662_prm,2012p1662
20305072121,20305072121,2030_p1662,2012p1662
20305072121_prm,20305072121,2030_p1662_prm,2012p1662
20305072122,20305072122,2030_p1662,2012p1662
20305072122_prm,20305072122,2030_p1662_prm,2012p1662
20305072123,20305072123,2030_p1662,2012p1662
20305072123_prm,20305072123,2030_p1662_prm,2012p1662
20357030200,20357030200,2035_p2251,2012p2251
20357030201,20357030201,2035_p2251,2012p2251
20357030202,20357030202,2035_p2251,2012p2251
20357030203,20357030203,2035_p2251,2012p2251
20357030204,20357030204,2035_p2251,2012p2251
20357030205,20357030205,2035_p2251,2012p2251
20357030206,20357030206,2035_p2251,2012p2251
20357030207,20357030207,2035_p2251,2012p2251
20357030208,20357030208,2035_p2251,2012p2251
20357030209,20357030209,2035_p2251,2012p2251
20357030210,20357030210,2035_p2251,2012p2251
20357030211,20357030211,2035_p2251,2012p2251
20357030212,20357030212,2035_p2251,2012p2251
20357030213,20357030213,2035_p2251,2012p2251
20357030214,20357030214,2035_p2251,2012p2251
20357030215,20357030215,2035_p2251,2012p2251
20357030216,20357030216,2035_p2251,2012p2251
20357030217,20357030217,2035_p2251,2012p2251
20357030218,20357030218,2035_p2251,2012p2251
20357030219,20357030219,2035_p2251,2012p2251
20357030220,20357030220,2035_p2251,2012p2251
20357030221,20357030221,2035_p2251,2012p2251
20357030222,20357030222,2035_p2251,2012p2251
20357030223,20357030223,2035_p2251,2012p2251
20355081300,20355081300,2035_p1685,2012p1685
20355081301,20355081301,2035_p1685,2012p1685
20355081302,20355081302,2035_p1685,2012p1685
20355081303,20355081303,2035_p1685,2012p1685
20355081304,20355081304,2035_p1685,2012p1685
20355081305,20355081305,2035_p1685,2012p1685
20355081306,20355081306,2035_p1685,2012p1685
20355081307,20355081307,2035_p1685,2012p1685
20355081308,20355081308,2035_p1685,2012p1685
20355081309,20355081309,2035_p1685,2012p1685
20355081310,20355081310,2035_p1685,2012p1685
20355081311,20355081311,2035_p1685,2012p1685
20355081312,20355081312,2035_p1685,2012p1685
20355081313,20355081313,2035_p1685,2012p1685
20355081314,20355081314,2035_p1685,2012p1685
20355081315,20355081315,2035_p1685,2012p1685
20355081316,20355081316,2035_p1685,2012p1685
20355081317,20355081317,2035_p1685,2012p1685
20355081318,20355081318,2035_p1685,2012p1685
20355081319,20355081319,2035_p1685,2012p1685
20355081320,20355081320,2035_p1685,2012p1685
20355081321,20355081321,2035_p1685,2012p1685
20355081322,20355081322,2035_p1685,2012p1685
20355081323,20355081323,2035_p1685,2012p1685
20356040600,20356040600,2035_p1921,2012p1921
20356040601,20356040601,2035_p1921,2012p1921
20356040602,20356040602,2035_p1921,2012p1921
20356040603,20356040603,2035_p1921,2012p1921
20356040604,20356040604,2035_p1921,2012p1921
20356040605,20356040605,2035_p1921,2012p1921
20356040606,20356040606,2035_p1921,2012p1921
20356040607,20356040607,2035_p1921,2012p1921
20356040608,20356040608,2035_p1921,2012p1921
20356040609,20356040609,2035_p1921,2012p1921
20356040610,20356040610,2035_p1921,2012p1921
20356040611,20356040611,2035_p1921,2012p1921
20356040612,20356040612,2035_p1921,2012p1921
20356040613,20356040613,2035_p1921,2012p1921
20356040614,20356040614,2035_p1921,2012p1921
20356040615,20356040615,2035_p1921,2012p1921
20356040616,20356040616,2035_p1921,2012p1921
20356040617,20356040617,2035_p1921,2012p1921
20356040618,20356040618,2035_p1921,2012p1921
20356040619,20356040619,2035_p1921,2012p1921
20356040620,20356040620,2035_p1921,2012p1921
20356040621,20356040621,2035_p1921,2012p1921
20356040622,20356040622,2035_p1921,2012p1921
20356040623,20356040623,2035_p1921,2012p1921
20355072100,20355072100,2035_p1662,2012p1662
20355072100_prm,20355072100,2035_p1662_prm,2012p1662
20355072101,20355072101,2035_p1662,2012p1662
20355072101_prm,20355072101,2035_p1662_prm,2012p1662
20355072102,20355072102,2035_p1662,2012p1662
20355072102_prm,20355072102,2035_p1662_prm,2012p1662
20355072103,20355072103,2035_p1662,2012p1662
20355072103_prm,20355072103,2035_p1662_prm,2012p1662
20355072104,20355072104,2035_p1662,2012p1662
20355072104_prm,20355072104,2035_p1662_prm,2012p1662
20355072105,20355072105,2035_p1662,2012p1662
20355072105_prm,20355072105,2035_p1662_prm,2012p1662
20355072106,20355072106,2035_p1662,2012p1662
20355072106_prm,20355072106,2035_p1662_prm,2012p1662
