GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
p10_hydroelectric_pumped_storage_1,1976,270.5,4192.75
p10_hydroelectric_pumped_storage_1,1977,541,8385.5
p10_hydroelectric_pumped_storage_1,1978,270.5,4192.75
p10_natural_gas_fired_combined_cycle_1,1952,32.5,.
p10_natural_gas_fired_combined_cycle_1,1987,222.9,.
p10_natural_gas_fired_combined_cycle_1,1988,421.5,.
p10_natural_gas_fired_combined_cycle_1,1989,41.1,.
p10_natural_gas_fired_combined_cycle_1,1990,8.1,.
p10_natural_gas_fired_combined_cycle_1,1993,98.5,.
p10_natural_gas_fired_combined_cycle_1,1995,212,.
p10_natural_gas_fired_combined_cycle_1,1996,48.3,.
p10_natural_gas_fired_combined_cycle_1,2001,21.4,.
p10_natural_gas_fired_combined_cycle_1,2003,12,.
p10_natural_gas_fired_combined_cycle_1,2005,472,.
p10_natural_gas_fired_combined_cycle_1,2007,19,.
p10_natural_gas_fired_combined_cycle_1,2012,145,.
p10_natural_gas_fired_combined_cycle_1,2013,45.9,.
p10_natural_gas_fired_combined_cycle_1,2015,313,.
p10_natural_gas_fired_combined_cycle_1,2016,84,.
p10_natural_gas_fired_combined_cycle_1,2025,28.4,.
p10_natural_gas_fired_combined_cycle_2,2001,320,.
p10_natural_gas_fired_combined_cycle_2,2003,3827,.
p10_natural_gas_fired_combined_cycle_2,2005,1929,.
p10_natural_gas_fired_combined_cycle_2,2006,555,.
p10_natural_gas_fired_combined_cycle_2,2013,510,.
p10_natural_gas_fired_combined_cycle_2,2020,1368,.
p10_natural_gas_fired_combustion_turbine_1,1973,34.6,.
p10_natural_gas_fired_combustion_turbine_1,1974,20.3,.
p10_natural_gas_fired_combustion_turbine_1,1976,323.2,.
p10_natural_gas_fired_combustion_turbine_1,1979,21.1,.
p10_natural_gas_fired_combustion_turbine_1,1982,45.6,.
p10_natural_gas_fired_combustion_turbine_1,1984,42,.
p10_natural_gas_fired_combustion_turbine_1,1985,356,.
p10_natural_gas_fired_combustion_turbine_1,1986,111.1,.
p10_natural_gas_fired_combustion_turbine_1,1987,323.8,.
p10_natural_gas_fired_combustion_turbine_1,1988,54.6,.
p10_natural_gas_fired_combustion_turbine_1,1989,223.8,.
p10_natural_gas_fired_combustion_turbine_1,1990,162.1,.
p10_natural_gas_fired_combustion_turbine_1,1991,96,.
p10_natural_gas_fired_combustion_turbine_1,1992,49.1,.
p10_natural_gas_fired_combustion_turbine_1,1994,48.2,.
p10_natural_gas_fired_combustion_turbine_1,1995,48,.
p10_natural_gas_fired_combustion_turbine_1,2000,5.5,.
p10_natural_gas_fired_combustion_turbine_1,2001,274.5,.
p10_natural_gas_fired_combustion_turbine_1,2002,312.9,.
p10_natural_gas_fired_combustion_turbine_1,2003,93,.
p10_natural_gas_fired_combustion_turbine_1,2004,142.4,.
p10_natural_gas_fired_combustion_turbine_1,2006,100,.
p10_natural_gas_fired_combustion_turbine_1,2007,191,.
p10_natural_gas_fired_combustion_turbine_1,2008,94.4,.
p10_natural_gas_fired_combustion_turbine_1,2010,4.3,.
p10_natural_gas_fired_combustion_turbine_1,2011,290.8,.
p10_natural_gas_fired_combustion_turbine_1,2012,60.3,.
p10_natural_gas_fired_combustion_turbine_1,2013,1956.2,.
p10_natural_gas_fired_combustion_turbine_1,2014,5,.
p10_natural_gas_fired_combustion_turbine_1,2015,212.4,.
p10_natural_gas_fired_combustion_turbine_1,2017,45.7,.
p10_natural_gas_fired_combustion_turbine_1,2019,30.5,.
p10_natural_gas_fired_combustion_turbine_1,2020,141,.
p10_natural_gas_fired_combustion_turbine_1,2025,1.6,.
p10_onshore_wind_turbine_1,1981,17.3,.
p10_onshore_wind_turbine_1,1982,3.5,.
p10_onshore_wind_turbine_1,1983,31,.
p10_onshore_wind_turbine_1,1984,138.3,.
p10_onshore_wind_turbine_1,1985,16.3,.
p10_onshore_wind_turbine_1,1986,31.1,.
p10_onshore_wind_turbine_1,1987,25.3,.
p10_onshore_wind_turbine_1,1989,88.5,.
p10_onshore_wind_turbine_1,1990,67,.
p10_onshore_wind_turbine_1,1992,6.5,.
p10_onshore_wind_turbine_1,1993,4.2,.
p10_onshore_wind_turbine_1,1994,46.9,.
p10_onshore_wind_turbine_1,1997,13.6,.
p10_onshore_wind_turbine_1,1999,111.2,.
p10_onshore_wind_turbine_1,2000,1.5,.
p10_onshore_wind_turbine_1,2002,110.8,.
p10_onshore_wind_turbine_1,2003,22.4,.
p10_onshore_wind_turbine_1,2004,64.8,.
p10_onshore_wind_turbine_1,2005,10.5,.
p10_onshore_wind_turbine_1,2008,65,.
p10_onshore_wind_turbine_1,2009,141.5,.
p10_onshore_wind_turbine_1,2011,770.5,.
p10_onshore_wind_turbine_1,2012,1379.4,.
p10_onshore_wind_turbine_1,2014,228,.
p10_onshore_wind_turbine_1,2015,198,.
p10_onshore_wind_turbine_1,2017,1.9,.
p10_onshore_wind_turbine_1,2018,195.4,.
p10_onshore_wind_turbine_1,2019,131.1,.
p10_onshore_wind_turbine_1,2021,293.6,.
p10_onshore_wind_turbine_1,2022,70.9,.
p10_onshore_wind_turbine_1,2024,53.5,.
p10_onshore_wind_turbine_1,2025,44.9,.
p10_other_peaker_1,1526,1367.8,.
p10_other_peaker_1,1527,1491,.
p10_other_peaker_1,1529,261.3,.
p10_other_peaker_1,1531,1.1,.
p10_other_peaker_1,1948,8.9,.
p10_other_peaker_1,1959,44,.
p10_other_peaker_1,1962,222,.
p10_other_peaker_1,1963,222,.
p10_other_peaker_1,1964,55,.
p10_other_peaker_1,1968,72,.
p10_other_peaker_1,1982,24.9,.
p10_other_peaker_1,1984,6.5,.
p10_other_peaker_1,1985,1.6,.
p10_other_peaker_1,1988,74.5,.
p10_other_peaker_1,1991,9.9,.
p10_other_peaker_1,2001,0.8,.
p10_other_peaker_1,2002,1,.
p10_other_peaker_1,2004,5.7,.
p10_other_peaker_1,2005,8.4,.
p10_other_peaker_1,2006,3.6,.
p10_other_peaker_1,2012,12,.
p10_other_peaker_1,2013,5.4,.
p10_other_peaker_1,2015,1.2,.
p10_other_peaker_1,2016,4.3,.
p10_other_peaker_1,2017,9.2,.
p10_other_peaker_1,2018,14.8,.
p10_other_peaker_1,2019,13.7,.
p10_other_peaker_1,2020,4.5,.
p10_other_peaker_1,2021,7.1,.
p10_other_peaker_1,2022,1.5,.
p10_other_peaker_1,2023,1.5,.
p10_petroleum_liquids_1,1958,1,.
p10_petroleum_liquids_1,1963,1.5,.
p10_petroleum_liquids_1,1966,1.1,.
p10_petroleum_liquids_1,1976,1.6,.
p10_petroleum_liquids_1,1980,21.9,.
p10_petroleum_liquids_1,1986,3.1,.
p10_petroleum_liquids_1,1995,2.8,.
p10_petroleum_liquids_1,1999,0.5,.
p10_petroleum_liquids_1,2000,1,.
p10_petroleum_liquids_1,2011,1.8,.
p10_petroleum_liquids_1,2018,1,.
p10_small_hydroelectric_1,1903,0.318882637199243,.
p10_small_hydroelectric_1,1904,0.637765274398486,.
p10_small_hydroelectric_1,1905,0,.
p10_small_hydroelectric_1,1906,0,.
p10_small_hydroelectric_1,1907,0,.
p10_small_hydroelectric_1,1908,2.25700390030441,.
p10_small_hydroelectric_1,1909,0.0959613240064883,.
p10_small_hydroelectric_1,1911,1.49924990139875,.
p10_small_hydroelectric_1,1912,0.505170316301703,.
p10_small_hydroelectric_1,1913,4.00814831711273,.
p10_small_hydroelectric_1,1916,2.236728387651,.
p10_small_hydroelectric_1,1917,2.57654462532548,.
p10_small_hydroelectric_1,1919,0.72803616019977,.
p10_small_hydroelectric_1,1921,0,.
p10_small_hydroelectric_1,1922,0.884897100567721,.
p10_small_hydroelectric_1,1924,2.69517944038929,.
p10_small_hydroelectric_1,1925,0.990077554744526,.
p10_small_hydroelectric_1,1927,0.365064882400649,.
p10_small_hydroelectric_1,1929,0.471981447688564,.
p10_small_hydroelectric_1,1941,2.00977592397294,.
p10_small_hydroelectric_1,1943,0.808929066888633,.
p10_small_hydroelectric_1,1949,0,.
p10_small_hydroelectric_1,1950,0,.
p10_small_hydroelectric_1,1953,4.60461019870235,.
p10_small_hydroelectric_1,1957,0,.
p10_small_hydroelectric_1,1958,0.788460563665856,.
p10_small_hydroelectric_1,1966,2.56804701396542,.
p10_small_hydroelectric_1,1971,1.83854701062793,.
p10_small_hydroelectric_1,1980,1.63992802108678,.
p10_small_hydroelectric_1,1981,9.19887844082507,.
p10_small_hydroelectric_1,1982,1.77875354825629,.
p10_small_hydroelectric_1,1983,2.76379625405515,.
p10_small_hydroelectric_1,1984,1.45382197891322,.
p10_small_hydroelectric_1,1985,0.265016727493917,.
p10_small_hydroelectric_1,1986,6.81139750608272,.
p10_small_hydroelectric_1,1987,2.70173506107974,.
p10_small_hydroelectric_1,1989,2.82864643962822,.
p10_small_hydroelectric_1,1990,6.59315720807817,.
p10_small_hydroelectric_1,1994,3.06784772911598,.
p10_small_hydroelectric_1,2001,0,.
p10_small_hydroelectric_1,2024,0,.
p10_solar_photovoltaic_1,1535,1.4,.
p10_solar_photovoltaic_1,1545,2.6,.
p10_solar_photovoltaic_1,1547,3,.
p10_solar_photovoltaic_1,1557,55.8,.
p10_solar_photovoltaic_1,2003,0.1,.
p10_solar_photovoltaic_1,2005,1.3,.
p10_solar_photovoltaic_1,2006,0.9,.
p10_solar_photovoltaic_1,2007,1.8,.
p10_solar_photovoltaic_1,2008,2.7,.
p10_solar_photovoltaic_1,2009,27.1,.
p10_solar_photovoltaic_1,2010,4.2,.
p10_solar_photovoltaic_1,2011,13.9,.
p10_solar_photovoltaic_1,2012,264.1,.
p10_solar_photovoltaic_1,2013,1627.28,.
p10_solar_photovoltaic_1,2014,1885.6,.
p10_solar_photovoltaic_1,2015,895.3,.
p10_solar_photovoltaic_1,2016,2193.9,.
p10_solar_photovoltaic_1,2017,398.5,.
p10_solar_photovoltaic_1,2018,656.4,.
p10_solar_photovoltaic_1,2019,676.6,.
p10_solar_photovoltaic_1,2020,1144.9,.
p10_solar_photovoltaic_1,2021,777.7,.
p10_solar_photovoltaic_1,2022,1754.6,.
p10_solar_photovoltaic_1,2023,1648.7,.
p10_solar_photovoltaic_1,2024,1815.1,.
p10_solar_photovoltaic_1,2025,1967.4,.
p10_solar_photovoltaic_1,2026,1047.8,.
p10_solar_photovoltaic_1,2027,480,.
p10_waste_heat_1,1976,0.455551753852393,.
p10_waste_heat_1,1983,2.11449701481189,.
p10_waste_heat_1,1988,5.44130565144926,.
p10_waste_heat_1,1993,0.9,.
p10_waste_heat_1,1996,11.2617811323982,.
p10_waste_heat_1,2029,0,.
p100_biomass_1,2010,1.2566403081914,.
p100_natural_gas_fired_combined_cycle_1,2014,1489.4,.
p100_natural_gas_fired_combustion_turbine_1,2015,15,.
p100_small_hydroelectric_1,1923,0.498986212489862,.
p100_small_hydroelectric_1,1927,0.521162814274128,.
p100_solar_photovoltaic_1,2017,12.5,.
p100_solar_photovoltaic_1,2023,1.4,.
p100_solar_photovoltaic_1,2024,205,.
p101_batteries_1,2017,12.6,25.2
p101_batteries_1,2018,14,56
p101_batteries_1,2019,5,3.8
p101_batteries_1,2021,480,1060.1
p101_batteries_1,2022,13.8,17.2
p101_batteries_1,2023,19.8,54
p101_batteries_1,2024,15,30
p101_batteries_1,2025,100,263
p101_biomass_1,1525,1.21533481633584,.
p101_biomass_1,1529,10.5207510057233,.
p101_biomass_1,1572,4.31620554080956,.
p101_biomass_1,1950,5.94693162725576,.
p101_biomass_1,1965,7.7170909686512,.
p101_biomass_1,1982,11.0495856123752,.
p101_biomass_1,1983,16.6823364888124,.
p101_biomass_1,1985,14.9824107866991,.
p101_biomass_1,1986,6.90023650388834,.
p101_biomass_1,1987,8.09728045465956,.
p101_biomass_1,1988,6.62975136742511,.
p101_biomass_1,1990,4.56414740470397,.
p101_biomass_1,1991,9.1426498117849,.
p101_biomass_1,1993,4.34621087813172,.
p101_biomass_1,2004,3.47869818329618,.
p101_biomass_1,2006,4.58892100775241,.
p101_biomass_1,2007,4.7527961783309,.
p101_biomass_1,2008,4.69922191808597,.
p101_biomass_1,2009,5.91796787230495,.
p101_biomass_1,2010,0.498680562161553,.
p101_biomass_1,2011,3.40336070559611,.
p101_biomass_1,2012,5.94693162725576,.
p101_biomass_1,2013,23.190072485807,.
p101_biomass_1,2015,2.9967210310219,.
p101_biomass_1,2017,5.13018388106416,.
p101_biomass_1,2019,0.998907010340633,.
p101_biomass_1,2026,6.32952679277416,.
p101_conventional_hydroelectric_1,2001,14.5,.
p101_conventional_hydroelectric_1,2002,14.5,.
p101_conventional_hydroelectric_1,2003,14.5,.
p101_conventional_steam_coal_1,1966,293,.
p101_conventional_steam_coal_1,1972,293,.
p101_conventional_steam_coal_1,1987,453.4,.
p101_conventional_steam_coal_1,1996,469.3,.
p101_conventional_steam_coal_2,1982,721,.
p101_conventional_steam_coal_2,1984,1361,.
p101_natural_gas_fired_combined_cycle_1,1958,141,.
p101_natural_gas_fired_combined_cycle_1,1965,259,.
p101_natural_gas_fired_combined_cycle_1,1967,337,.
p101_natural_gas_fired_combined_cycle_1,1969,764,.
p101_natural_gas_fired_combined_cycle_1,1970,340,.
p101_natural_gas_fired_combined_cycle_1,1974,360,.
p101_natural_gas_fired_combined_cycle_1,1995,125,.
p101_natural_gas_fired_combined_cycle_1,1996,161,.
p101_natural_gas_fired_combined_cycle_1,1999,521,.
p101_natural_gas_fired_combined_cycle_1,2000,801,.
p101_natural_gas_fired_combined_cycle_1,2001,1043.2,.
p101_natural_gas_fired_combined_cycle_1,2002,2474,.
p101_natural_gas_fired_combined_cycle_1,2003,2001,.
p101_natural_gas_fired_combined_cycle_1,2004,1395,.
p101_natural_gas_fired_combined_cycle_1,2005,1990,.
p101_natural_gas_fired_combined_cycle_1,2007,904,.
p101_natural_gas_fired_combined_cycle_1,2009,1259,.
p101_natural_gas_fired_combined_cycle_1,2011,320,.
p101_natural_gas_fired_combined_cycle_1,2017,480,.
p101_natural_gas_fired_combined_cycle_1,2018,1854,.
p101_natural_gas_fired_combined_cycle_1,2019,1723.1,.
p101_natural_gas_fired_combined_cycle_1,2021,780,.
p101_natural_gas_fired_combined_cycle_1,2023,1133.1,.
p101_natural_gas_fired_combined_cycle_1,2026,574.5,.
p101_natural_gas_fired_combined_cycle_2,1956,29.7,.
p101_natural_gas_fired_combined_cycle_2,1977,145,.
p101_natural_gas_fired_combined_cycle_2,1992,124.5,.
p101_natural_gas_fired_combined_cycle_2,1993,385,.
p101_natural_gas_fired_combined_cycle_2,1994,120,.
p101_natural_gas_fired_combined_cycle_2,1995,110.6,.
p101_natural_gas_fired_combined_cycle_2,1997,230,.
p101_natural_gas_fired_combined_cycle_2,2000,258,.
p101_natural_gas_fired_combined_cycle_2,2001,361,.
p101_natural_gas_fired_combined_cycle_2,2002,118,.
p101_natural_gas_fired_combined_cycle_2,2008,185,.
p101_natural_gas_fired_combined_cycle_2,2010,307,.
p101_natural_gas_fired_combined_cycle_2,2021,40,.
p101_natural_gas_fired_combustion_turbine_1,1531,44,.
p101_natural_gas_fired_combustion_turbine_1,1972,111,.
p101_natural_gas_fired_combustion_turbine_1,1973,19,.
p101_natural_gas_fired_combustion_turbine_1,1980,130,.
p101_natural_gas_fired_combustion_turbine_1,1983,2.5,.
p101_natural_gas_fired_combustion_turbine_1,1986,3,.
p101_natural_gas_fired_combustion_turbine_1,1987,8.7,.
p101_natural_gas_fired_combustion_turbine_1,1989,3.3,.
p101_natural_gas_fired_combustion_turbine_1,1990,35,.
p101_natural_gas_fired_combustion_turbine_1,1992,281,.
p101_natural_gas_fired_combustion_turbine_1,1993,439.5,.
p101_natural_gas_fired_combustion_turbine_1,1994,92,.
p101_natural_gas_fired_combustion_turbine_1,1996,81,.
p101_natural_gas_fired_combustion_turbine_1,2000,552.3,.
p101_natural_gas_fired_combustion_turbine_1,2001,505.2,.
p101_natural_gas_fired_combustion_turbine_1,2002,1367.6,.
p101_natural_gas_fired_combustion_turbine_1,2003,400,.
p101_natural_gas_fired_combustion_turbine_1,2005,96,.
p101_natural_gas_fired_combustion_turbine_1,2006,279,.
p101_natural_gas_fired_combustion_turbine_1,2009,500.5,.
p101_natural_gas_fired_combustion_turbine_1,2011,384.2,.
p101_natural_gas_fired_combustion_turbine_1,2015,7.8,.
p101_natural_gas_fired_combustion_turbine_1,2016,471.3,.
p101_natural_gas_fired_combustion_turbine_1,2020,124.5,.
p101_other_peaker_1,1527,76,.
p101_other_peaker_1,1536,232,.
p101_other_peaker_1,1540,442,.
p101_other_peaker_1,1957,18,.
p101_other_peaker_1,1974,521,.
p101_other_peaker_1,1976,819,.
p101_other_peaker_1,1977,1343,.
p101_other_peaker_1,1978,504,.
p101_other_peaker_1,2017,7.4,.
p101_other_peaker_1,2018,28.4,.
p101_other_peaker_1,2019,74,.
