GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p23_landbasedwind_class3_moderate_1,2030,27.5
p23_landbasedwind_class3_moderate_2,2030,27.5
p23_utilitypv_class1_moderate_1,2030,27.5
p23_utilitypv_class1_moderate_2,2030,27.5
p24_landbasedwind_class3_moderate_1,2030,27.5
p24_landbasedwind_class3_moderate_2,2030,27.5
p24_utilitypv_class1_moderate_1,2030,27.5
p24_utilitypv_class1_moderate_2,2030,27.5
p25_landbasedwind_class3_moderate_1,2030,27.5
p25_landbasedwind_class3_moderate_2,2030,27.5
p25_utilitypv_class1_moderate_1,2030,27.5
p25_utilitypv_class1_moderate_2,2030,27.5
p26_landbasedwind_class3_moderate_1,2030,27.5
p26_landbasedwind_class3_moderate_2,2030,27.5
p26_utilitypv_class1_moderate_1,2030,27.5
p26_utilitypv_class1_moderate_2,2030,27.5
p27_landbasedwind_class3_moderate_1,2030,27.5
p27_landbasedwind_class3_moderate_2,2030,27.5
p27_utilitypv_class1_moderate_1,2030,27.5
p27_utilitypv_class1_moderate_2,2030,27.5
p28_landbasedwind_class3_moderate_1,2030,27.5
p28_landbasedwind_class3_moderate_2,2030,27.5
p28_utilitypv_class1_moderate_1,2030,27.5
p28_utilitypv_class1_moderate_2,2030,27.5
p29_landbasedwind_class3_moderate_1,2030,27.5
p29_landbasedwind_class3_moderate_2,2030,27.5
p29_utilitypv_class1_moderate_1,2030,27.5
p29_utilitypv_class1_moderate_2,2030,27.5
p30_landbasedwind_class3_moderate_1,2030,27.5
p30_landbasedwind_class3_moderate_2,2030,27.5
p30_utilitypv_class1_moderate_1,2030,27.5
p30_utilitypv_class1_moderate_2,2030,27.5
p31_landbasedwind_class3_moderate_1,2030,27.5
p31_landbasedwind_class3_moderate_2,2030,27.5
p31_utilitypv_class1_moderate_1,2030,27.5
p31_utilitypv_class1_moderate_2,2030,27.5
p32_landbasedwind_class3_moderate_1,2030,27.5
p32_landbasedwind_class3_moderate_2,2030,27.5
p32_utilitypv_class1_moderate_1,2030,27.5
p32_utilitypv_class1_moderate_2,2030,27.5
p33_landbasedwind_class3_moderate_1,2030,27.5
p33_landbasedwind_class3_moderate_2,2030,27.5
p33_utilitypv_class1_moderate_1,2030,27.5
p33_utilitypv_class1_moderate_2,2030,27.5
p34_landbasedwind_class3_moderate_1,2030,27.5
p34_landbasedwind_class3_moderate_2,2030,27.5
p34_utilitypv_class1_moderate_1,2030,27.5
p34_utilitypv_class1_moderate_2,2030,27.5
