LOAD_ZONE,TIMEPOINT,ee_load_reduction
p1,20285081300,250.7915536912271
p2,20285081300,109.66047237727648
p3,20285081300,50.07179360027512
p4,20285081300,19.82684411817953
p5,20285081300,231.25310003294848
p6,20285081300,50.54042809761412
p7,20285081300,7.173712690032224
p8,20285081300,7.390005534957825
p9,20285081300,610.306310765055
p10,20285081300,689.3252967778687
p11,20285081300,102.27046684231874
p12,20285081300,78.76664436040424
p13,20285081300,197.9800507218945
p14,20285081300,25.01787239639381
p15,20285081300,77.86542417321412
p16,20285081300,36.84188125232632
p17,20285081300,31.97529224150044
p18,20285081300,21.449040455121487
p19,20285081300,0.5046833048263875
p20,20285081300,10.95883747623015
p21,20285081300,40.338615578623504
p22,20285081300,6.5969317702306505
p23,20285081300,8.219128107172612
p24,20285081300,40.05022511872275
p25,20285081300,157.028605415982
p26,20285081300,7.173712690032224
p27,20285081300,55.80355399080337
p28,20285081300,418.8871430059013
p29,20285081300,5.875955620478663
p30,20285081300,82.15523226423825
p31,20285081300,112.3641329388465
p32,20285081300,9.084299486874974
p33,20285081300,238.24656868554263
p34,20285081300,76.85605756356149
p35,20285081300,3.31649028885912
p36,20285081300,32.516024353814394
p37,20285081300,67.48336761678563
p38,20285081300,43.69115467497
p39,20285081300,8.110981684709813
p40,20285081300,48.485646070821
p41,20285081300,91.45582459603914
p42,20285081300,15.537036027155212
p43,20285081300,228.5494394713785
p44,20285081300,6.524834155255425
p45,20285081300,50.64857452007662
p46,20285081300,38.60827281921862
p47,20285081300,37.56285740207812
p48,20285081300,124.65677629211774
p49,20285081300,3.064148636445926
p50,20285081300,205.4782026793151
p51,20285081300,106.848665393244
p52,20285081300,6.452736540280237
p53,20285081300,153.0992853998336
p54,20285081300,81.36215849951138
p55,20285081300,43.727203482457874
p56,20285081300,81.2540120770485
p57,20285081300,51.00906259495275
p58,20285081300,406.7026460750925
p59,20285081300,56.7047741779935
p60,20285081300,19.89894173315471
p61,20285081300,45.2773022044245
p62,20285081300,37.95939428444175
p63,20285081300,794.5157170266862
p64,20285081300,261.85853758992
p65,20285081300,404.10713193598497
p66,20285081300,124.72887390709312
p67,20285081300,571.4456962934212
p68,20285081300,14.419522995039635
p69,20285081300,23.03518798457584
p70,20285081300,158.54265533046112
p71,20285081300,6.7771758076686375
p72,20285081300,147.2593785868425
p73,20285081300,9.625031599188974
p74,20285081300,11.427471973568926
p75,20285081300,42.609690450342
p76,20285081300,48.846134145696745
p77,20285081300,13.518302807849665
p78,20285081300,35.039440877946376
p79,20285081300,114.81545184800324
p80,20285081300,357.9646583518593
p81,20285081300,86.01245466541162
p82,20285081300,30.929876824360047
p83,20285081300,50.86486736500237
p84,20285081300,17.159232364097175
p85,20285081300,150.93635695057762
p86,20285081300,105.19042024881412
p87,20285081300,169.82593207407936
p88,20285081300,64.16687732792661
p89,20285081300,221.7722636637097
p90,20285081300,203.45946946000947
p91,20285081300,59.30028831710062
p92,20285081300,503.5297429867837
p93,20285081300,50.2159888302255
p94,20285081300,701.5097937086774
p95,20285081300,125.55799647930787
p96,20285081300,229.01807396871712
p97,20285081300,282.5866018952895
p98,20285081300,277.93630572938923
p99,20285081300,570.9770617960837
p100,20285081300,18.997721545964737
p101,20285081300,697.1478880026788
p102,20285081300,387.81307095159
p103,20285081300,378.4403810048175
p104,20285081300,35.58017299026034
p105,20285081300,237.8860806106665
p106,20285081300,76.24322783627213
p107,20285081300,119.64599205134137
p108,20285081300,29.451875717368495
p109,20285081300,189.7969714222095
p110,20285081300,19.105867968427532
p111,20285081300,212.25537848698383
p112,20285081300,219.861676866867
p113,20285081300,53.31618627415912
p114,20285081300,83.77742860118025
p115,20285081300,99.96334316311236
p116,20285081300,66.69029385205837
p117,20285081300,48.91823176067213
p118,20285081300,93.07802093298112
p119,20285081300,11.6798136259821
p120,20285081300,6.9574198451066245
p121,20285081300,20.259429808030724
p122,20285081300,386.2269234221363
p123,20285081300,222.60138623592448
p124,20285081300,3.064148636445926
p125,20285081300,39.72578585133412
p126,20285081300,263.0120994295234
p127,20285081300,455.40458499084
p128,20285081300,189.47253215482087
p129,20285081300,19.502404850791123
p130,20285081300,37.45471097961551
p131,20285081300,191.4191677591515
p132,20285081300,100.90061215779
p133,20285081300,29.5600221398313
p134,20285081300,41.74451907063975
p1,20285081301,255.225557012202
p2,20285081301,101.72973473000474
p3,20285081301,56.2361396806545
p4,20285081301,18.42094062616316
p5,20285081301,212.86820821427287
p6,20285081301,46.10642477663925
p7,20285081301,6.70507819269345
p8,20285081301,6.70507819269345
p9,20285081301,555.800513843805
p10,20285081301,627.7899823965375
p11,20285081301,91.52792221101411
p12,20285081301,73.79190892711537
p13,20285081301,185.9397490210361
p14,20285081301,23.03518798457584
p15,20285081301,71.34059001795862
