load_zone,fuel,period,fuel_cost
p1,coal,2028,3.37494601314905
p1,coal,2030,3.37494601314905
p1,coal,2035,3.37494601314905
p2,coal,2028,3.37494601314905
p2,coal,2030,3.37494601314905
p2,coal,2035,3.37494601314905
p3,coal,2028,3.37494601314905
p3,coal,2030,3.37494601314905
p3,coal,2035,3.37494601314905
p4,coal,2028,3.37494601314905
p4,coal,2030,3.37494601314905
p4,coal,2035,3.37494601314905
p5,coal,2028,2.64224169874175
p5,coal,2030,2.64224169874175
p5,coal,2035,2.64224169874175
p6,coal,2028,2.64224169874175
p6,coal,2030,2.64224169874175
p6,coal,2035,2.64224169874175
p7,coal,2028,2.64224169874175
p7,coal,2030,2.64224169874175
p7,coal,2035,2.64224169874175
p8,coal,2028,5.90457116714559
p8,coal,2030,5.90457116714559
p8,coal,2035,5.90457116714559
p9,coal,2028,5.90457116714559
p9,coal,2030,5.90457116714559
p9,coal,2035,5.90457116714559
p10,coal,2028,5.90457116714559
p10,coal,2030,5.90457116714559
p10,coal,2035,5.90457116714559
p11,coal,2028,5.90457116714559
p11,coal,2030,5.90457116714559
p11,coal,2035,5.90457116714559
p12,coal,2028,3.77868733773176
p12,coal,2030,3.77868733773176
p12,coal,2035,3.77868733773176
p13,coal,2028,3.77868733773176
p13,coal,2030,3.77868733773176
p13,coal,2035,3.77868733773176
p14,coal,2028,5.90457116714559
p14,coal,2030,5.90457116714559
p14,coal,2035,5.90457116714559
p15,coal,2028,5.90457116714559
p15,coal,2030,5.90457116714559
p15,coal,2035,5.90457116714559
p16,coal,2028,5.90457116714559
p16,coal,2030,5.90457116714559
p16,coal,2035,5.90457116714559
p17,coal,2028,2.55581703799851
p17,coal,2030,2.55581703799851
p17,coal,2035,2.55581703799851
p18,coal,2028,2.55581703799851
p18,coal,2030,2.55581703799851
p18,coal,2035,2.55581703799851
p19,coal,2028,2.55581703799851
p19,coal,2030,2.55581703799851
p19,coal,2035,2.55581703799851
p20,coal,2028,2.55581703799851
p20,coal,2030,2.55581703799851
p20,coal,2035,2.55581703799851
p21,coal,2028,1.88404379810514
p21,coal,2030,1.88404379810514
p21,coal,2035,1.88404379810514
p22,coal,2028,1.88404379810514
p22,coal,2030,1.88404379810514
p22,coal,2035,1.88404379810514
p23,coal,2028,1.88404379810514
p23,coal,2030,1.88404379810514
p23,coal,2035,1.88404379810514
p24,coal,2028,1.88404379810514
p24,coal,2030,1.88404379810514
p24,coal,2035,1.88404379810514
p25,coal,2028,2.66311267082832
p25,coal,2030,2.66311267082832
p25,coal,2035,2.66311267082832
p26,coal,2028,2.66311267082832
p26,coal,2030,2.66311267082832
p26,coal,2035,2.66311267082832
p27,coal,2028,2.93634437833412
p27,coal,2030,2.93634437833412
p27,coal,2035,2.93634437833412
p28,coal,2028,2.93634437833412
p28,coal,2030,2.93634437833412
p28,coal,2035,2.93634437833412
p29,coal,2028,2.93634437833412
p29,coal,2030,2.93634437833412
p29,coal,2035,2.93634437833412
p30,coal,2028,2.93634437833412
p30,coal,2030,2.93634437833412
p30,coal,2035,2.93634437833412
p31,coal,2028,3.31518673835118
p31,coal,2030,3.31518673835118
p31,coal,2035,3.31518673835118
p32,coal,2028,2.27438193270812
p32,coal,2030,2.27438193270812
p32,coal,2035,2.27438193270812
p33,coal,2028,2.07001988715199
p33,coal,2030,2.07001988715199
p33,coal,2035,2.07001988715199
p34,coal,2028,2.07001988715199
p34,coal,2030,2.07001988715199
p34,coal,2035,2.07001988715199
p35,coal,2028,2.55581703799851
p35,coal,2030,2.55581703799851
p35,coal,2035,2.55581703799851
p36,coal,2028,1.88401793761614
p36,coal,2030,1.88401793761614
p36,coal,2035,1.88401793761614
p37,coal,2028,1.88401793761614
p37,coal,2030,1.88401793761614
p37,coal,2035,1.88401793761614
p38,coal,2028,2.27438193270812
p38,coal,2030,2.27438193270812
p38,coal,2035,2.27438193270812
p39,coal,2028,1.38818021498084
p39,coal,2030,1.38818021498084
p39,coal,2035,1.38818021498084
p40,coal,2028,1.38818021498084
p40,coal,2030,1.38818021498084
p40,coal,2035,1.38818021498084
p41,coal,2028,1.38818021498084
p41,coal,2030,1.38818021498084
p41,coal,2035,1.38818021498084
p42,coal,2028,2.41971158253388
p42,coal,2030,2.41971158253388
p42,coal,2035,2.41971158253388
p43,coal,2028,2.41971158253388
p43,coal,2030,2.41971158253388
p43,coal,2035,2.41971158253388
p44,coal,2028,2.41971158253388
p44,coal,2030,2.41971158253388
p44,coal,2035,2.41971158253388
p45,coal,2028,1.86488441514972
p45,coal,2030,1.86488441514972
p45,coal,2035,1.86488441514972
p46,coal,2028,2.44977511054965
p46,coal,2030,2.44977511054965
p46,coal,2035,2.44977511054965
p47,coal,2028,3.31518673835118
p47,coal,2030,3.31518673835118
p47,coal,2035,3.31518673835118
p48,coal,2028,2.30965375203363
p48,coal,2030,2.30965375203363
p48,coal,2035,2.30965375203363
p49,coal,2028,2.24533602860202
p49,coal,2030,2.24533602860202
p49,coal,2035,2.24533602860202
p50,coal,2028,2.24533602860202
p50,coal,2030,2.24533602860202
p50,coal,2035,2.24533602860202
p51,coal,2028,2.24533602860202
p51,coal,2030,2.24533602860202
p51,coal,2035,2.24533602860202
p52,coal,2028,1.7818728024663
p52,coal,2030,1.7818728024663
p52,coal,2035,1.7818728024663
p53,coal,2028,1.7818728024663
p53,coal,2030,1.7818728024663
p53,coal,2035,1.7818728024663
p54,coal,2028,1.93742166980525
p54,coal,2030,1.93742166980525
p54,coal,2035,1.93742166980525
p55,coal,2028,1.93742166980525
p55,coal,2030,1.93742166980525
p55,coal,2035,1.93742166980525
p56,coal,2028,2.28929712099459
p56,coal,2030,2.28929712099459
p56,coal,2035,2.28929712099459
p57,coal,2028,2.30965375203363
p57,coal,2030,2.30965375203363
p57,coal,2035,2.30965375203363
p58,coal,2028,4.08832464445445
p58,coal,2030,4.08832464445445
p58,coal,2035,4.08832464445445
p59,coal,2028,2.30965375203363
p59,coal,2030,2.30965375203363
p59,coal,2035,2.30965375203363
p60,coal,2028,2.30965375203363
p60,coal,2030,2.30965375203363
p60,coal,2035,2.30965375203363
p61,coal,2028,2.30965375203363
p61,coal,2030,2.30965375203363
p61,coal,2035,2.30965375203363
p62,coal,2028,2.30965375203363
p62,coal,2030,2.30965375203363
p62,coal,2035,2.30965375203363
p63,coal,2028,2.30965375203363
p63,coal,2030,2.30965375203363
p63,coal,2035,2.30965375203363
p64,coal,2028,2.30965375203363
p64,coal,2030,2.30965375203363
p64,coal,2035,2.30965375203363
p65,coal,2028,2.30965375203363
p65,coal,2030,2.30965375203363
p65,coal,2035,2.30965375203363
p66,coal,2028,2.30965375203363
p66,coal,2030,2.30965375203363
p66,coal,2035,2.30965375203363
p67,coal,2028,2.30965375203363
p67,coal,2030,2.30965375203363
p67,coal,2035,2.30965375203363
p68,coal,2028,2.41971158253388
p68,coal,2030,2.41971158253388
p68,coal,2035,2.41971158253388
p69,coal,2028,1.86488441514972
p69,coal,2030,1.86488441514972
p69,coal,2035,1.86488441514972
p70,coal,2028,1.86488441514972
p70,coal,2030,1.86488441514972
p70,coal,2035,1.86488441514972
p71,coal,2028,1.93742166980525
p71,coal,2030,1.93742166980525
p71,coal,2035,1.93742166980525
p72,coal,2028,1.93742166980525
p72,coal,2030,1.93742166980525
p72,coal,2035,1.93742166980525
p73,coal,2028,1.93742166980525
p73,coal,2030,1.93742166980525
p73,coal,2035,1.93742166980525
p74,coal,2028,2.51432732161769
p74,coal,2030,2.51432732161769
p74,coal,2035,2.51432732161769
p75,coal,2028,2.44977511054965
p75,coal,2030,2.44977511054965
p75,coal,2035,2.44977511054965
p76,coal,2028,2.44977511054965
p76,coal,2030,2.44977511054965
p76,coal,2035,2.44977511054965
p77,coal,2028,2.44977511054965
p77,coal,2030,2.44977511054965
p77,coal,2035,2.44977511054965
p78,coal,2028,2.44977511054965
p78,coal,2030,2.44977511054965
p78,coal,2035,2.44977511054965
p79,coal,2028,2.44977511054965
p79,coal,2030,2.44977511054965
p79,coal,2035,2.44977511054965
p80,coal,2028,1.93887719662013
p80,coal,2030,1.93887719662013
p80,coal,2035,1.93887719662013
p81,coal,2028,1.93887719662013
p81,coal,2030,1.93887719662013
p81,coal,2035,1.93887719662013
p82,coal,2028,1.93887719662013
p82,coal,2030,1.93887719662013
p82,coal,2035,1.93887719662013
p83,coal,2028,1.93887719662013
p83,coal,2030,1.93887719662013
p83,coal,2035,1.93887719662013
p84,coal,2028,1.93742166980525
p84,coal,2030,1.93742166980525
p84,coal,2035,1.93742166980525
p85,coal,2028,2.28929712099459
p85,coal,2030,2.28929712099459
p85,coal,2035,2.28929712099459
p86,coal,2028,4.08832464445445
p86,coal,2030,4.08832464445445
p86,coal,2035,4.08832464445445
p87,coal,2028,3.62996548481329
p87,coal,2030,3.62996548481329
p87,coal,2035,3.62996548481329
p88,coal,2028,3.62996548481329
p88,coal,2030,3.62996548481329
p88,coal,2035,3.62996548481329
p89,coal,2028,2.77928132966812
