2010,170585817
2011,170585817
2012,149822111
2013,149822111
2014,82537000
2015,80473575
2016,78461735
2017,76500192
2018,74587687
2019,72890098
2020,87393846
2021,108629380
2022,105314295
2023,101999210
2024,76335645
2025,73782440
2026,71229235
2027,63327790
2028,55411816
2029,47495842
2030,39579868
2031,32003320
2032,24426772
2033,16850224
2034,14685495
2035,12520768
2036,10356041
2037,8191313
2038,8191313
2039,8191313
2040,8191313
2041,8191313
2042,8191313
2043,8191313
2044,8191313
2045,8191313
2046,8191313
2047,8191313
2048,8191313
2049,8191313
2050,8191313
